Reynolds Number: 15
Epoch 0, LR: 1.0000e-02, Loss: 3.2469e+00, Data Loss: 3.2469e+00, Physics Loss: 2.5117e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 6.6511e-01, Data Loss: 6.6377e-01, Physics Loss: 1.3462e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 7.3314e-01, Data Loss: 7.2681e-01, Physics Loss: 6.3260e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 6.6951e-01, Data Loss: 6.6768e-01, Physics Loss: 1.8304e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 7.1183e-01, Data Loss: 7.0346e-01, Physics Loss: 8.3727e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 6.9588e-01, Data Loss: 6.9075e-01, Physics Loss: 5.1311e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 6.6837e-01, Data Loss: 6.6472e-01, Physics Loss: 3.6448e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 6.5965e-01, Data Loss: 6.5775e-01, Physics Loss: 1.8995e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 6.7713e-01, Data Loss: 6.7345e-01, Physics Loss: 3.6724e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 6.5929e-01, Data Loss: 6.5621e-01, Physics Loss: 3.0830e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 6.4581e-01, Data Loss: 6.4302e-01, Physics Loss: 2.7921e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 6.2961e-01, Data Loss: 6.2726e-01, Physics Loss: 2.3467e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 6.7631e-01, Data Loss: 6.7576e-01, Physics Loss: 5.5601e-04 
Epoch 13000, LR: 1.0000e-03, Loss: 6.1824e-01, Data Loss: 6.1569e-01, Physics Loss: 2.5515e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 6.0351e-01, Data Loss: 5.9907e-01, Physics Loss: 4.4396e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 5.7606e-01, Data Loss: 5.6598e-01, Physics Loss: 1.0078e-02 
Epoch 16000, LR: 1.0000e-04, Loss: 9.9600e-01, Data Loss: 9.7156e-01, Physics Loss: 2.4441e-02 
Epoch 17000, LR: 1.0000e-04, Loss: 5.1718e-01, Data Loss: 5.0751e-01, Physics Loss: 9.6724e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 5.0861e-01, Data Loss: 4.9894e-01, Physics Loss: 9.6684e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 4.9554e-01, Data Loss: 4.8619e-01, Physics Loss: 9.3428e-03 
Epoch 20000, LR: 1.0000e-04, Loss: 4.7735e-01, Data Loss: 4.6817e-01, Physics Loss: 9.1836e-03 
Epoch 21000, LR: 1.0000e-04, Loss: 4.6261e-01, Data Loss: 4.5297e-01, Physics Loss: 9.6413e-03 
Epoch 22000, LR: 1.0000e-04, Loss: 4.4940e-01, Data Loss: 4.4155e-01, Physics Loss: 7.8511e-03 
Epoch 23000, LR: 1.0000e-04, Loss: 4.4153e-01, Data Loss: 4.3231e-01, Physics Loss: 9.2185e-03 
Epoch 24000, LR: 1.0000e-05, Loss: 4.3372e-01, Data Loss: 4.2493e-01, Physics Loss: 8.7880e-03 
Epoch 25000, LR: 1.0000e-05, Loss: 4.3179e-01, Data Loss: 4.2413e-01, Physics Loss: 7.6580e-03 
Epoch 26000, LR: 1.0000e-05, Loss: 4.3051e-01, Data Loss: 4.2281e-01, Physics Loss: 7.6999e-03 
Epoch 27000, LR: 1.0000e-05, Loss: 4.2856e-01, Data Loss: 4.2078e-01, Physics Loss: 7.7766e-03 
Epoch 28000, LR: 1.0000e-05, Loss: 4.2574e-01, Data Loss: 4.1786e-01, Physics Loss: 7.8831e-03 
Epoch 29000, LR: 1.0000e-05, Loss: 4.2252e-01, Data Loss: 4.1451e-01, Physics Loss: 8.0164e-03 
Epoch 30000, LR: 1.0000e-05, Loss: 4.1966e-01, Data Loss: 4.1152e-01, Physics Loss: 8.1385e-03 
Epoch 31000, LR: 1.0000e-05, Loss: 4.1714e-01, Data Loss: 4.0890e-01, Physics Loss: 8.2428e-03 
Epoch 32000, LR: 1.0000e-06, Loss: 4.1490e-01, Data Loss: 4.0658e-01, Physics Loss: 8.3234e-03 
Epoch 33000, LR: 1.0000e-06, Loss: 4.1465e-01, Data Loss: 4.0632e-01, Physics Loss: 8.3316e-03 
Epoch 34000, LR: 1.0000e-06, Loss: 4.1430e-01, Data Loss: 4.0596e-01, Physics Loss: 8.3416e-03 
Epoch 35000, LR: 1.0000e-06, Loss: 4.1386e-01, Data Loss: 4.0551e-01, Physics Loss: 8.3455e-03 
Epoch 36000, LR: 1.0000e-06, Loss: 4.1334e-01, Data Loss: 4.0500e-01, Physics Loss: 8.3418e-03 
Epoch 37000, LR: 1.0000e-06, Loss: 4.1276e-01, Data Loss: 4.0443e-01, Physics Loss: 8.3271e-03 
Epoch 38000, LR: 1.0000e-06, Loss: 4.1219e-01, Data Loss: 4.0387e-01, Physics Loss: 8.3166e-03 
Epoch 39000, LR: 1.0000e-06, Loss: 4.1162e-01, Data Loss: 4.0331e-01, Physics Loss: 8.3094e-03 
Epoch 40000, LR: 1.0000e-07, Loss: 4.1106e-01, Data Loss: 4.0276e-01, Physics Loss: 8.3025e-03 
Epoch 41000, LR: 1.0000e-07, Loss: 4.1100e-01, Data Loss: 4.0270e-01, Physics Loss: 8.3017e-03 
Epoch 42000, LR: 1.0000e-07, Loss: 4.1094e-01, Data Loss: 4.0264e-01, Physics Loss: 8.3007e-03 
Epoch 43000, LR: 1.0000e-07, Loss: 4.1087e-01, Data Loss: 4.0257e-01, Physics Loss: 8.2949e-03 
Epoch 44000, LR: 1.0000e-07, Loss: 4.1079e-01, Data Loss: 4.0250e-01, Physics Loss: 8.2881e-03 
Epoch 45000, LR: 1.0000e-07, Loss: 4.1072e-01, Data Loss: 4.0244e-01, Physics Loss: 8.2806e-03 
Epoch 46000, LR: 1.0000e-07, Loss: 4.1064e-01, Data Loss: 4.0237e-01, Physics Loss: 8.2739e-03 
Epoch 47000, LR: 1.0000e-07, Loss: 4.1057e-01, Data Loss: 4.0230e-01, Physics Loss: 8.2675e-03 
Epoch 48000, LR: 1.0000e-08, Loss: 4.1049e-01, Data Loss: 4.0223e-01, Physics Loss: 8.2616e-03 
Epoch 49000, LR: 1.0000e-08, Loss: 4.1049e-01, Data Loss: 4.0223e-01, Physics Loss: 8.2616e-03 
Mean L2 Error: 6.0410e+01 
Relative L2 Error: 8.9734e-01 
