Reynolds Number: 16
Epoch 0, LR: 1.0000e-02, Loss: 2.7761e+00, Data Loss: 2.7760e+00, Physics Loss: 2.4959e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 5.9494e-01, Data Loss: 5.9389e-01, Physics Loss: 1.0454e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 6.4648e-01, Data Loss: 6.3932e-01, Physics Loss: 7.1617e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 6.1002e-01, Data Loss: 6.0887e-01, Physics Loss: 1.1480e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 5.7639e-01, Data Loss: 5.7500e-01, Physics Loss: 1.3911e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 5.8075e-01, Data Loss: 5.7908e-01, Physics Loss: 1.6636e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 5.9679e-01, Data Loss: 5.9510e-01, Physics Loss: 1.6914e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 5.6682e-01, Data Loss: 5.5391e-01, Physics Loss: 1.2911e-02 
Epoch 8000, LR: 1.0000e-03, Loss: 6.0231e-01, Data Loss: 5.7626e-01, Physics Loss: 2.6057e-02 
Epoch 9000, LR: 1.0000e-03, Loss: 5.0406e-01, Data Loss: 4.7087e-01, Physics Loss: 3.3190e-02 
Epoch 10000, LR: 1.0000e-03, Loss: 5.7136e-01, Data Loss: 5.5908e-01, Physics Loss: 1.2278e-02 
Epoch 11000, LR: 1.0000e-03, Loss: 4.1270e-01, Data Loss: 4.0368e-01, Physics Loss: 9.0231e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 3.4941e-01, Data Loss: 3.4387e-01, Physics Loss: 5.5324e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 3.5158e-01, Data Loss: 3.3768e-01, Physics Loss: 1.3896e-02 
Epoch 14000, LR: 1.0000e-03, Loss: 3.4904e-01, Data Loss: 3.3366e-01, Physics Loss: 1.5384e-02 
Epoch 15000, LR: 1.0000e-03, Loss: 6.1125e-01, Data Loss: 6.0824e-01, Physics Loss: 3.0042e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 5.7926e-01, Data Loss: 5.7734e-01, Physics Loss: 1.9219e-03 
Epoch 17000, LR: 1.0000e-04, Loss: 5.7133e-01, Data Loss: 5.6910e-01, Physics Loss: 2.2311e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 5.5586e-01, Data Loss: 5.5237e-01, Physics Loss: 3.4940e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 5.2652e-01, Data Loss: 5.2103e-01, Physics Loss: 5.4871e-03 
Epoch 20000, LR: 1.0000e-04, Loss: 4.5549e-01, Data Loss: 4.4934e-01, Physics Loss: 6.1555e-03 
Epoch 21000, LR: 1.0000e-04, Loss: 4.3497e-01, Data Loss: 4.2917e-01, Physics Loss: 5.7953e-03 
Epoch 22000, LR: 1.0000e-04, Loss: 4.1075e-01, Data Loss: 4.0606e-01, Physics Loss: 4.6859e-03 
Epoch 23000, LR: 1.0000e-04, Loss: 3.8871e-01, Data Loss: 3.8430e-01, Physics Loss: 4.4087e-03 
Epoch 24000, LR: 1.0000e-05, Loss: 3.5959e-01, Data Loss: 3.5324e-01, Physics Loss: 6.3526e-03 
Epoch 25000, LR: 1.0000e-05, Loss: 3.5405e-01, Data Loss: 3.4691e-01, Physics Loss: 7.1354e-03 
Epoch 26000, LR: 1.0000e-05, Loss: 3.4547e-01, Data Loss: 3.3763e-01, Physics Loss: 7.8319e-03 
Epoch 27000, LR: 1.0000e-05, Loss: 3.3696e-01, Data Loss: 3.3039e-01, Physics Loss: 6.5664e-03 
Epoch 28000, LR: 1.0000e-05, Loss: 3.3099e-01, Data Loss: 3.2598e-01, Physics Loss: 5.0067e-03 
Epoch 29000, LR: 1.0000e-05, Loss: 3.2728e-01, Data Loss: 3.2325e-01, Physics Loss: 4.0300e-03 
Epoch 30000, LR: 1.0000e-05, Loss: 3.2473e-01, Data Loss: 3.2127e-01, Physics Loss: 3.4624e-03 
Epoch 31000, LR: 1.0000e-05, Loss: 3.2284e-01, Data Loss: 3.1970e-01, Physics Loss: 3.1459e-03 
Epoch 32000, LR: 1.0000e-06, Loss: 3.2135e-01, Data Loss: 3.1838e-01, Physics Loss: 2.9700e-03 
Epoch 33000, LR: 1.0000e-06, Loss: 3.2118e-01, Data Loss: 3.1823e-01, Physics Loss: 2.9473e-03 
Epoch 34000, LR: 1.0000e-06, Loss: 3.2094e-01, Data Loss: 3.1802e-01, Physics Loss: 2.9239e-03 
Epoch 35000, LR: 1.0000e-06, Loss: 3.2061e-01, Data Loss: 3.1772e-01, Physics Loss: 2.8940e-03 
Epoch 36000, LR: 1.0000e-06, Loss: 3.2019e-01, Data Loss: 3.1733e-01, Physics Loss: 2.8590e-03 
Epoch 37000, LR: 1.0000e-06, Loss: 3.1972e-01, Data Loss: 3.1690e-01, Physics Loss: 2.8223e-03 
Epoch 38000, LR: 1.0000e-06, Loss: 3.1925e-01, Data Loss: 3.1647e-01, Physics Loss: 2.7886e-03 
Epoch 39000, LR: 1.0000e-06, Loss: 3.1881e-01, Data Loss: 3.1605e-01, Physics Loss: 2.7579e-03 
