Reynolds Number: 47
Epoch 0, LR: 1.0000e-02, Loss: 9.9271e-01, Data Loss: 9.9268e-01, Physics Loss: 2.3572e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.7222e-01, Data Loss: 1.6900e-01, Physics Loss: 3.2253e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 1.6093e-01, Data Loss: 1.5819e-01, Physics Loss: 2.7401e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.6259e-01, Data Loss: 1.6064e-01, Physics Loss: 1.9438e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.6657e-01, Data Loss: 1.6317e-01, Physics Loss: 3.3953e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 1.6167e-01, Data Loss: 1.5933e-01, Physics Loss: 2.3448e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 1.5560e-01, Data Loss: 1.4925e-01, Physics Loss: 6.3527e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 1.6308e-01, Data Loss: 1.6023e-01, Physics Loss: 2.8497e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 1.7027e-01, Data Loss: 1.6937e-01, Physics Loss: 8.9415e-04 
Epoch 9000, LR: 1.0000e-03, Loss: 1.5902e-01, Data Loss: 1.5596e-01, Physics Loss: 3.0625e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 1.5414e-01, Data Loss: 1.4958e-01, Physics Loss: 4.5581e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 1.4519e-01, Data Loss: 1.3892e-01, Physics Loss: 6.2685e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.7006e-01, Data Loss: 1.6854e-01, Physics Loss: 1.5142e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 1.5562e-01, Data Loss: 1.5279e-01, Physics Loss: 2.8296e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 1.5977e-01, Data Loss: 1.5698e-01, Physics Loss: 2.7841e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 1.9142e-01, Data Loss: 1.8900e-01, Physics Loss: 2.4153e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 1.6364e-01, Data Loss: 1.6116e-01, Physics Loss: 2.4831e-03 
Epoch 17000, LR: 1.0000e-04, Loss: 1.5837e-01, Data Loss: 1.5490e-01, Physics Loss: 3.4766e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 1.5139e-01, Data Loss: 1.4712e-01, Physics Loss: 4.2629e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 1.2964e-01, Data Loss: 1.2496e-01, Physics Loss: 4.6800e-03 
Epoch 20000, LR: 1.0000e-04, Loss: 1.2042e-01, Data Loss: 1.1781e-01, Physics Loss: 2.6103e-03 
Epoch 21000, LR: 1.0000e-04, Loss: 1.1463e-01, Data Loss: 1.1321e-01, Physics Loss: 1.4243e-03 
Epoch 22000, LR: 1.0000e-04, Loss: 1.1240e-01, Data Loss: 1.1137e-01, Physics Loss: 1.0317e-03 
Epoch 23000, LR: 1.0000e-04, Loss: 1.1113e-01, Data Loss: 1.1042e-01, Physics Loss: 7.1044e-04 
Epoch 24000, LR: 1.0000e-05, Loss: 1.1038e-01, Data Loss: 1.0978e-01, Physics Loss: 6.0028e-04 
Epoch 25000, LR: 1.0000e-05, Loss: 1.1030e-01, Data Loss: 1.0971e-01, Physics Loss: 5.9002e-04 
Epoch 26000, LR: 1.0000e-05, Loss: 1.1018e-01, Data Loss: 1.0960e-01, Physics Loss: 5.7918e-04 
Epoch 27000, LR: 1.0000e-05, Loss: 1.1000e-01, Data Loss: 1.0944e-01, Physics Loss: 5.6443e-04 
Epoch 28000, LR: 1.0000e-05, Loss: 1.0975e-01, Data Loss: 1.0921e-01, Physics Loss: 5.4723e-04 
Epoch 29000, LR: 1.0000e-05, Loss: 1.0949e-01, Data Loss: 1.0896e-01, Physics Loss: 5.3246e-04 
Epoch 30000, LR: 1.0000e-05, Loss: 1.0926e-01, Data Loss: 1.0874e-01, Physics Loss: 5.1886e-04 
Epoch 31000, LR: 1.0000e-05, Loss: 1.0905e-01, Data Loss: 1.0854e-01, Physics Loss: 5.0746e-04 
Epoch 32000, LR: 1.0000e-06, Loss: 1.0885e-01, Data Loss: 1.0836e-01, Physics Loss: 4.9396e-04 
Epoch 33000, LR: 1.0000e-06, Loss: 1.0883e-01, Data Loss: 1.0834e-01, Physics Loss: 4.9268e-04 
Epoch 34000, LR: 1.0000e-06, Loss: 1.0880e-01, Data Loss: 1.0831e-01, Physics Loss: 4.9099e-04 
Epoch 35000, LR: 1.0000e-06, Loss: 1.0876e-01, Data Loss: 1.0827e-01, Physics Loss: 4.8884e-04 
Epoch 36000, LR: 1.0000e-06, Loss: 1.0870e-01, Data Loss: 1.0822e-01, Physics Loss: 4.8624e-04 
Epoch 37000, LR: 1.0000e-06, Loss: 1.0864e-01, Data Loss: 1.0816e-01, Physics Loss: 4.8300e-04 
Epoch 38000, LR: 1.0000e-06, Loss: 1.0858e-01, Data Loss: 1.0810e-01, Physics Loss: 4.7912e-04 
Epoch 39000, LR: 1.0000e-06, Loss: 1.0851e-01, Data Loss: 1.0804e-01, Physics Loss: 4.7565e-04 
Epoch 40000, LR: 1.0000e-07, Loss: 1.0845e-01, Data Loss: 1.0798e-01, Physics Loss: 4.7195e-04 
Epoch 41000, LR: 1.0000e-07, Loss: 1.0845e-01, Data Loss: 1.0797e-01, Physics Loss: 4.7180e-04 
Epoch 42000, LR: 1.0000e-07, Loss: 1.0844e-01, Data Loss: 1.0797e-01, Physics Loss: 4.7120e-04 
Epoch 43000, LR: 1.0000e-07, Loss: 1.0843e-01, Data Loss: 1.0796e-01, Physics Loss: 4.7087e-04 
