Reynolds Number: 39
Epoch 0, LR: 1.0000e-02, Loss: 1.0388e+00, Data Loss: 1.0387e+00, Physics Loss: 2.3704e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.9707e-01, Data Loss: 1.9600e-01, Physics Loss: 1.0703e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 1.8834e-01, Data Loss: 1.8703e-01, Physics Loss: 1.3112e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.9023e-01, Data Loss: 1.8960e-01, Physics Loss: 6.3789e-04 
Epoch 4000, LR: 1.0000e-02, Loss: 1.8393e-01, Data Loss: 1.8196e-01, Physics Loss: 1.9697e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 2.0448e-01, Data Loss: 2.0382e-01, Physics Loss: 6.6668e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 1.9294e-01, Data Loss: 1.9134e-01, Physics Loss: 1.5987e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 1.8533e-01, Data Loss: 1.8381e-01, Physics Loss: 1.5289e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 1.9734e-01, Data Loss: 1.9704e-01, Physics Loss: 3.0057e-04 
Epoch 9000, LR: 1.0000e-03, Loss: 1.9420e-01, Data Loss: 1.9364e-01, Physics Loss: 5.6455e-04 
Epoch 10000, LR: 1.0000e-03, Loss: 1.8223e-01, Data Loss: 1.8034e-01, Physics Loss: 1.8957e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 1.7653e-01, Data Loss: 1.7365e-01, Physics Loss: 2.8818e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.7344e-01, Data Loss: 1.6990e-01, Physics Loss: 3.5459e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 1.7180e-01, Data Loss: 1.6717e-01, Physics Loss: 4.6315e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 1.7345e-01, Data Loss: 1.6859e-01, Physics Loss: 4.8611e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 1.7975e-01, Data Loss: 1.7764e-01, Physics Loss: 2.1054e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 1.7327e-01, Data Loss: 1.6126e-01, Physics Loss: 1.2008e-02 
Epoch 17000, LR: 1.0000e-04, Loss: 1.5982e-01, Data Loss: 1.5560e-01, Physics Loss: 4.2175e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 1.4947e-01, Data Loss: 1.4471e-01, Physics Loss: 4.7581e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 1.3829e-01, Data Loss: 1.3466e-01, Physics Loss: 3.6262e-03 
Epoch 20000, LR: 1.0000e-04, Loss: 1.2991e-01, Data Loss: 1.2811e-01, Physics Loss: 1.7971e-03 
Epoch 21000, LR: 1.0000e-04, Loss: 1.2634e-01, Data Loss: 1.2513e-01, Physics Loss: 1.2188e-03 
Epoch 22000, LR: 1.0000e-04, Loss: 1.2442e-01, Data Loss: 1.2328e-01, Physics Loss: 1.1400e-03 
Epoch 23000, LR: 1.0000e-04, Loss: 1.2354e-01, Data Loss: 1.2213e-01, Physics Loss: 1.4089e-03 
Epoch 24000, LR: 1.0000e-05, Loss: 1.2243e-01, Data Loss: 1.2148e-01, Physics Loss: 9.4960e-04 
Epoch 25000, LR: 1.0000e-05, Loss: 1.2237e-01, Data Loss: 1.2142e-01, Physics Loss: 9.4879e-04 
Epoch 26000, LR: 1.0000e-05, Loss: 1.2228e-01, Data Loss: 1.2134e-01, Physics Loss: 9.4758e-04 
Epoch 27000, LR: 1.0000e-05, Loss: 1.2215e-01, Data Loss: 1.2120e-01, Physics Loss: 9.4477e-04 
Epoch 28000, LR: 1.0000e-05, Loss: 1.2195e-01, Data Loss: 1.2101e-01, Physics Loss: 9.3867e-04 
