Reynolds Number: 52
Epoch 0, LR: 1.0000e-02, Loss: 9.7684e-01, Data Loss: 9.7681e-01, Physics Loss: 2.3511e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.6242e-01, Data Loss: 1.6051e-01, Physics Loss: 1.9092e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 1.6353e-01, Data Loss: 1.6158e-01, Physics Loss: 1.9485e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.5294e-01, Data Loss: 1.5038e-01, Physics Loss: 2.5566e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.5088e-01, Data Loss: 1.4727e-01, Physics Loss: 3.6071e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 1.6485e-01, Data Loss: 1.6337e-01, Physics Loss: 1.4769e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 1.7442e-01, Data Loss: 1.7139e-01, Physics Loss: 3.0282e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 1.6291e-01, Data Loss: 1.5725e-01, Physics Loss: 5.6532e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 1.6722e-01, Data Loss: 1.6693e-01, Physics Loss: 2.8890e-04 
Epoch 9000, LR: 1.0000e-03, Loss: 1.5468e-01, Data Loss: 1.5250e-01, Physics Loss: 2.1795e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 1.4242e-01, Data Loss: 1.3737e-01, Physics Loss: 5.0503e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 1.3181e-01, Data Loss: 1.2711e-01, Physics Loss: 4.7040e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.6344e-01, Data Loss: 1.6241e-01, Physics Loss: 1.0244e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 1.3006e-01, Data Loss: 1.2743e-01, Physics Loss: 2.6334e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 1.2323e-01, Data Loss: 1.1723e-01, Physics Loss: 5.9966e-03 
