Reynolds Number: 71
Epoch 0, LR: 1.0000e-02, Loss: 9.5095e-01, Data Loss: 9.5093e-01, Physics Loss: 2.3362e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.6283e-01, Data Loss: 1.6187e-01, Physics Loss: 9.5505e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 1.3730e-01, Data Loss: 1.3487e-01, Physics Loss: 2.4286e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.5812e-01, Data Loss: 1.5677e-01, Physics Loss: 1.3517e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.3526e-01, Data Loss: 1.3243e-01, Physics Loss: 2.8231e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 7.7310e-03, Data Loss: 3.4728e-03, Physics Loss: 4.2582e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 4.2047e-03, Data Loss: 2.8726e-03, Physics Loss: 1.3321e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 2.4628e-03, Data Loss: 1.2757e-03, Physics Loss: 1.1871e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 1.4229e-03, Data Loss: 9.9856e-04, Physics Loss: 4.2439e-04 
Epoch 9000, LR: 1.0000e-03, Loss: 6.0120e-04, Data Loss: 5.1877e-04, Physics Loss: 8.2431e-05 
Epoch 10000, LR: 1.0000e-03, Loss: 4.5093e-04, Data Loss: 3.9542e-04, Physics Loss: 5.5506e-05 
Epoch 11000, LR: 1.0000e-03, Loss: 3.1062e-04, Data Loss: 2.7476e-04, Physics Loss: 3.5857e-05 
Epoch 12000, LR: 1.0000e-03, Loss: 2.0866e-04, Data Loss: 1.8543e-04, Physics Loss: 2.3228e-05 
Epoch 13000, LR: 1.0000e-03, Loss: 1.4452e-04, Data Loss: 1.2885e-04, Physics Loss: 1.5676e-05 
Epoch 14000, LR: 1.0000e-03, Loss: 1.0556e-04, Data Loss: 9.2811e-05, Physics Loss: 1.2748e-05 
Epoch 15000, LR: 1.0000e-03, Loss: 8.9649e-05, Data Loss: 7.2191e-05, Physics Loss: 1.7458e-05 
Epoch 16000, LR: 1.0000e-04, Loss: 7.0162e-05, Data Loss: 5.8537e-05, Physics Loss: 1.1625e-05 
Epoch 17000, LR: 1.0000e-04, Loss: 6.6440e-05, Data Loss: 5.6522e-05, Physics Loss: 9.9174e-06 
Epoch 18000, LR: 1.0000e-04, Loss: 6.3307e-05, Data Loss: 5.3517e-05, Physics Loss: 9.7902e-06 
Epoch 19000, LR: 1.0000e-04, Loss: 5.8664e-05, Data Loss: 4.9002e-05, Physics Loss: 9.6622e-06 
Epoch 20000, LR: 1.0000e-04, Loss: 5.2594e-05, Data Loss: 4.3301e-05, Physics Loss: 9.2921e-06 
Epoch 21000, LR: 1.0000e-04, Loss: 4.6117e-05, Data Loss: 3.7593e-05, Physics Loss: 8.5242e-06 
Epoch 22000, LR: 1.0000e-04, Loss: 4.1207e-05, Data Loss: 3.3348e-05, Physics Loss: 7.8592e-06 
Epoch 23000, LR: 1.0000e-04, Loss: 3.7146e-05, Data Loss: 2.9890e-05, Physics Loss: 7.2558e-06 
Epoch 24000, LR: 1.0000e-05, Loss: 3.3881e-05, Data Loss: 2.7126e-05, Physics Loss: 6.7556e-06 
Epoch 25000, LR: 1.0000e-05, Loss: 3.3381e-05, Data Loss: 2.6778e-05, Physics Loss: 6.6034e-06 
Epoch 26000, LR: 1.0000e-05, Loss: 3.2764e-05, Data Loss: 2.6266e-05, Physics Loss: 6.4982e-06 
Epoch 27000, LR: 1.0000e-05, Loss: 3.1812e-05, Data Loss: 2.5478e-05, Physics Loss: 6.3338e-06 
Epoch 28000, LR: 1.0000e-05, Loss: 3.0400e-05, Data Loss: 2.4315e-05, Physics Loss: 6.0842e-06 
Epoch 29000, LR: 1.0000e-05, Loss: 2.8497e-05, Data Loss: 2.2757e-05, Physics Loss: 5.7399e-06 
Epoch 30000, LR: 1.0000e-05, Loss: 2.6689e-05, Data Loss: 2.1290e-05, Physics Loss: 5.3986e-06 
Epoch 31000, LR: 1.0000e-05, Loss: 2.5087e-05, Data Loss: 1.9989e-05, Physics Loss: 5.0977e-06 
Epoch 32000, LR: 1.0000e-06, Loss: 2.3616e-05, Data Loss: 1.8810e-05, Physics Loss: 4.8061e-06 
Epoch 33000, LR: 1.0000e-06, Loss: 2.3442e-05, Data Loss: 1.8672e-05, Physics Loss: 4.7699e-06 
Epoch 34000, LR: 1.0000e-06, Loss: 2.3187e-05, Data Loss: 1.8467e-05, Physics Loss: 4.7200e-06 
Epoch 35000, LR: 1.0000e-06, Loss: 2.2828e-05, Data Loss: 1.8177e-05, Physics Loss: 4.6506e-06 
Epoch 36000, LR: 1.0000e-06, Loss: 2.2352e-05, Data Loss: 1.7793e-05, Physics Loss: 4.5596e-06 
Epoch 37000, LR: 1.0000e-06, Loss: 2.1771e-05, Data Loss: 1.7322e-05, Physics Loss: 4.4490e-06 
Epoch 38000, LR: 1.0000e-06, Loss: 2.1172e-05, Data Loss: 1.6840e-05, Physics Loss: 4.3317e-06 
Epoch 39000, LR: 1.0000e-06, Loss: 2.0596e-05, Data Loss: 1.6378e-05, Physics Loss: 4.2179e-06 
Epoch 40000, LR: 1.0000e-07, Loss: 2.0042e-05, Data Loss: 1.5936e-05, Physics Loss: 4.1068e-06 
Epoch 41000, LR: 1.0000e-07, Loss: 1.9982e-05, Data Loss: 1.5887e-05, Physics Loss: 4.0949e-06 
Epoch 42000, LR: 1.0000e-07, Loss: 1.9910e-05, Data Loss: 1.5830e-05, Physics Loss: 4.0798e-06 
Epoch 43000, LR: 1.0000e-07, Loss: 1.9832e-05, Data Loss: 1.5768e-05, Physics Loss: 4.0645e-06 
Epoch 44000, LR: 1.0000e-07, Loss: 1.9750e-05, Data Loss: 1.5701e-05, Physics Loss: 4.0485e-06 
Epoch 45000, LR: 1.0000e-07, Loss: 1.9665e-05, Data Loss: 1.5634e-05, Physics Loss: 4.0317e-06 
Epoch 46000, LR: 1.0000e-07, Loss: 1.9581e-05, Data Loss: 1.5566e-05, Physics Loss: 4.0145e-06 
Epoch 47000, LR: 1.0000e-07, Loss: 1.9497e-05, Data Loss: 1.5500e-05, Physics Loss: 3.9978e-06 
Epoch 48000, LR: 1.0000e-08, Loss: 1.9414e-05, Data Loss: 1.5433e-05, Physics Loss: 3.9812e-06 
Epoch 49000, LR: 1.0000e-08, Loss: 1.9410e-05, Data Loss: 1.5429e-05, Physics Loss: 3.9808e-06 
Mean L2 Error: 7.1319e-01 
Relative L2 Error: 1.1923e-02 
