Reynolds Number: 42
Epoch 0, LR: 1.0000e-02, Loss: 1.0173e+00, Data Loss: 1.0173e+00, Physics Loss: 2.3648e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.7811e-01, Data Loss: 1.7729e-01, Physics Loss: 8.1845e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 1.8404e-01, Data Loss: 1.8218e-01, Physics Loss: 1.8604e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.8160e-01, Data Loss: 1.7916e-01, Physics Loss: 2.4381e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.6900e-01, Data Loss: 1.6238e-01, Physics Loss: 6.6285e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 1.9022e-01, Data Loss: 1.8997e-01, Physics Loss: 2.5001e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 1.7280e-01, Data Loss: 1.6995e-01, Physics Loss: 2.8412e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 1.8473e-01, Data Loss: 1.7857e-01, Physics Loss: 6.1597e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 1.7928e-01, Data Loss: 1.7636e-01, Physics Loss: 2.9204e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.6893e-01, Data Loss: 1.6489e-01, Physics Loss: 4.0407e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 1.7393e-01, Data Loss: 1.6939e-01, Physics Loss: 4.5384e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 1.3838e-01, Data Loss: 1.3534e-01, Physics Loss: 3.0420e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.2699e-01, Data Loss: 1.2535e-01, Physics Loss: 1.6415e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 1.7329e-01, Data Loss: 1.7164e-01, Physics Loss: 1.6475e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 2.0655e-01, Data Loss: 2.0390e-01, Physics Loss: 2.6508e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 1.5318e-01, Data Loss: 1.4916e-01, Physics Loss: 4.0185e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 1.2906e-01, Data Loss: 1.2790e-01, Physics Loss: 1.1632e-03 
Epoch 17000, LR: 1.0000e-04, Loss: 1.2670e-01, Data Loss: 1.2551e-01, Physics Loss: 1.1886e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 1.2486e-01, Data Loss: 1.2364e-01, Physics Loss: 1.2174e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 1.2347e-01, Data Loss: 1.2224e-01, Physics Loss: 1.2309e-03 
Epoch 20000, LR: 1.0000e-04, Loss: 1.2205e-01, Data Loss: 1.2086e-01, Physics Loss: 1.1862e-03 
Epoch 21000, LR: 1.0000e-04, Loss: 1.2114e-01, Data Loss: 1.1994e-01, Physics Loss: 1.1977e-03 
Epoch 22000, LR: 1.0000e-04, Loss: 1.2040e-01, Data Loss: 1.1932e-01, Physics Loss: 1.0818e-03 
Epoch 23000, LR: 1.0000e-04, Loss: 1.1975e-01, Data Loss: 1.1875e-01, Physics Loss: 1.0061e-03 
Epoch 24000, LR: 1.0000e-05, Loss: 1.1927e-01, Data Loss: 1.1824e-01, Physics Loss: 1.0277e-03 
Epoch 25000, LR: 1.0000e-05, Loss: 1.1915e-01, Data Loss: 1.1818e-01, Physics Loss: 9.6484e-04 
Epoch 26000, LR: 1.0000e-05, Loss: 1.1905e-01, Data Loss: 1.1809e-01, Physics Loss: 9.5981e-04 
Epoch 27000, LR: 1.0000e-05, Loss: 1.1890e-01, Data Loss: 1.1795e-01, Physics Loss: 9.5198e-04 
Epoch 28000, LR: 1.0000e-05, Loss: 1.1868e-01, Data Loss: 1.1775e-01, Physics Loss: 9.3897e-04 
Epoch 29000, LR: 1.0000e-05, Loss: 1.1843e-01, Data Loss: 1.1751e-01, Physics Loss: 9.1304e-04 
Epoch 30000, LR: 1.0000e-05, Loss: 1.1819e-01, Data Loss: 1.1730e-01, Physics Loss: 8.8704e-04 
Epoch 31000, LR: 1.0000e-05, Loss: 1.1798e-01, Data Loss: 1.1712e-01, Physics Loss: 8.6331e-04 
Epoch 32000, LR: 1.0000e-06, Loss: 1.1779e-01, Data Loss: 1.1694e-01, Physics Loss: 8.4135e-04 
Epoch 33000, LR: 1.0000e-06, Loss: 1.1776e-01, Data Loss: 1.1692e-01, Physics Loss: 8.3918e-04 
Epoch 34000, LR: 1.0000e-06, Loss: 1.1773e-01, Data Loss: 1.1689e-01, Physics Loss: 8.3625e-04 
