Reynolds Number: 67
Epoch 0, LR: 1.0000e-02, Loss: 9.5389e-01, Data Loss: 9.5387e-01, Physics Loss: 2.3386e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.4853e-01, Data Loss: 1.4346e-01, Physics Loss: 5.0716e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 1.4264e-01, Data Loss: 1.4173e-01, Physics Loss: 9.1180e-04 
Epoch 3000, LR: 1.0000e-02, Loss: 1.6714e-01, Data Loss: 1.6552e-01, Physics Loss: 1.6187e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.4152e-01, Data Loss: 1.4069e-01, Physics Loss: 8.3236e-04 
Epoch 5000, LR: 1.0000e-02, Loss: 1.4579e-01, Data Loss: 1.4392e-01, Physics Loss: 1.8714e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 1.3938e-01, Data Loss: 1.3743e-01, Physics Loss: 1.9509e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 1.6171e-01, Data Loss: 1.6124e-01, Physics Loss: 4.7482e-04 
Epoch 8000, LR: 1.0000e-03, Loss: 1.4850e-01, Data Loss: 1.4736e-01, Physics Loss: 1.1359e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.2614e-01, Data Loss: 1.2209e-01, Physics Loss: 4.0448e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 1.1006e-01, Data Loss: 1.0821e-01, Physics Loss: 1.8484e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 1.5288e-01, Data Loss: 1.5120e-01, Physics Loss: 1.6806e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.0973e-01, Data Loss: 1.0751e-01, Physics Loss: 2.2187e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 1.0427e-01, Data Loss: 1.0365e-01, Physics Loss: 6.2470e-04 
Epoch 14000, LR: 1.0000e-03, Loss: 1.1884e-01, Data Loss: 1.1440e-01, Physics Loss: 4.4403e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 1.0259e-01, Data Loss: 1.0206e-01, Physics Loss: 5.2976e-04 
Epoch 16000, LR: 1.0000e-04, Loss: 1.3196e-01, Data Loss: 1.3054e-01, Physics Loss: 1.4204e-03 
Epoch 17000, LR: 1.0000e-04, Loss: 1.2893e-01, Data Loss: 1.2736e-01, Physics Loss: 1.5679e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 1.2410e-01, Data Loss: 1.2247e-01, Physics Loss: 1.6295e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 1.1451e-01, Data Loss: 1.1267e-01, Physics Loss: 1.8384e-03 
Epoch 20000, LR: 1.0000e-04, Loss: 1.1082e-01, Data Loss: 1.0962e-01, Physics Loss: 1.2010e-03 
Epoch 21000, LR: 1.0000e-04, Loss: 1.0636e-01, Data Loss: 1.0540e-01, Physics Loss: 9.5689e-04 
Epoch 22000, LR: 1.0000e-04, Loss: 1.0177e-01, Data Loss: 1.0064e-01, Physics Loss: 1.1273e-03 
Epoch 23000, LR: 1.0000e-04, Loss: 9.8003e-02, Data Loss: 9.6519e-02, Physics Loss: 1.4847e-03 
