Reynolds Number: 25
Epoch 0, LR: 1.0000e-02, Loss: 1.3513e+00, Data Loss: 1.3513e+00, Physics Loss: 2.4163e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 2.6663e-01, Data Loss: 2.4777e-01, Physics Loss: 1.8861e-02 
Epoch 2000, LR: 1.0000e-02, Loss: 1.9375e-02, Data Loss: 1.3184e-02, Physics Loss: 6.1916e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 5.7081e-03, Data Loss: 2.1685e-03, Physics Loss: 3.5396e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 2.4336e-03, Data Loss: 1.5400e-03, Physics Loss: 8.9366e-04 
Epoch 5000, LR: 1.0000e-02, Loss: 3.7135e-03, Data Loss: 1.1297e-03, Physics Loss: 2.5838e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 5.2770e-03, Data Loss: 7.9958e-04, Physics Loss: 4.4774e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 4.7204e-03, Data Loss: 1.1725e-03, Physics Loss: 3.5479e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 3.2907e-03, Data Loss: 5.8360e-04, Physics Loss: 2.7071e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 4.8589e-04, Data Loss: 3.6273e-04, Physics Loss: 1.2316e-04 
Epoch 10000, LR: 1.0000e-03, Loss: 4.2031e-04, Data Loss: 3.2256e-04, Physics Loss: 9.7753e-05 
Epoch 11000, LR: 1.0000e-03, Loss: 3.6009e-04, Data Loss: 2.8502e-04, Physics Loss: 7.5075e-05 
Epoch 12000, LR: 1.0000e-03, Loss: 2.9742e-04, Data Loss: 2.4048e-04, Physics Loss: 5.6942e-05 
Epoch 13000, LR: 1.0000e-03, Loss: 2.5693e-04, Data Loss: 1.7838e-04, Physics Loss: 7.8542e-05 
Epoch 14000, LR: 1.0000e-03, Loss: 2.1449e-04, Data Loss: 1.3808e-04, Physics Loss: 7.6406e-05 
Epoch 15000, LR: 1.0000e-03, Loss: 1.4558e-04, Data Loss: 1.0939e-04, Physics Loss: 3.6191e-05 
Epoch 16000, LR: 1.0000e-04, Loss: 1.2238e-04, Data Loss: 8.9808e-05, Physics Loss: 3.2571e-05 
Epoch 17000, LR: 1.0000e-04, Loss: 1.1407e-04, Data Loss: 8.7199e-05, Physics Loss: 2.6874e-05 
Epoch 18000, LR: 1.0000e-04, Loss: 1.0942e-04, Data Loss: 8.3559e-05, Physics Loss: 2.5859e-05 
