Reynolds Number: 57
Epoch 0, LR: 1.0000e-02, Loss: 9.6622e-01, Data Loss: 9.6620e-01, Physics Loss: 2.3462e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.4859e-01, Data Loss: 1.4801e-01, Physics Loss: 5.8286e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 1.6553e-01, Data Loss: 1.6174e-01, Physics Loss: 3.7841e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.5419e-01, Data Loss: 1.5192e-01, Physics Loss: 2.2732e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.4685e-01, Data Loss: 1.4500e-01, Physics Loss: 1.8462e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 1.2224e-01, Data Loss: 1.1687e-01, Physics Loss: 5.3701e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 1.2411e-01, Data Loss: 1.2051e-01, Physics Loss: 3.5945e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 9.3142e-02, Data Loss: 8.8384e-02, Physics Loss: 4.7585e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 8.4081e-02, Data Loss: 8.2531e-02, Physics Loss: 1.5505e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 2.0269e-02, Data Loss: 1.5636e-02, Physics Loss: 4.6336e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 3.0638e-03, Data Loss: 2.4656e-03, Physics Loss: 5.9815e-04 
Epoch 11000, LR: 1.0000e-03, Loss: 1.5298e-03, Data Loss: 1.1636e-03, Physics Loss: 3.6618e-04 
Epoch 12000, LR: 1.0000e-03, Loss: 7.5667e-04, Data Loss: 5.4431e-04, Physics Loss: 2.1236e-04 
Epoch 13000, LR: 1.0000e-03, Loss: 8.7546e-04, Data Loss: 4.5563e-04, Physics Loss: 4.1983e-04 
Epoch 14000, LR: 1.0000e-03, Loss: 4.3129e-04, Data Loss: 2.9930e-04, Physics Loss: 1.3198e-04 
Epoch 15000, LR: 1.0000e-03, Loss: 7.6211e-04, Data Loss: 2.5759e-04, Physics Loss: 5.0452e-04 
Epoch 16000, LR: 1.0000e-04, Loss: 2.6737e-04, Data Loss: 2.1024e-04, Physics Loss: 5.7132e-05 
Epoch 17000, LR: 1.0000e-04, Loss: 2.5899e-04, Data Loss: 2.0594e-04, Physics Loss: 5.3051e-05 
Epoch 18000, LR: 1.0000e-04, Loss: 2.5064e-04, Data Loss: 1.9939e-04, Physics Loss: 5.1242e-05 
Epoch 19000, LR: 1.0000e-04, Loss: 2.3807e-04, Data Loss: 1.8942e-04, Physics Loss: 4.8652e-05 
Epoch 20000, LR: 1.0000e-04, Loss: 2.1957e-04, Data Loss: 1.7455e-04, Physics Loss: 4.5011e-05 
Epoch 21000, LR: 1.0000e-04, Loss: 2.0575e-04, Data Loss: 1.5479e-04, Physics Loss: 5.0961e-05 
Epoch 22000, LR: 1.0000e-04, Loss: 1.7457e-04, Data Loss: 1.3693e-04, Physics Loss: 3.7643e-05 
Epoch 23000, LR: 1.0000e-04, Loss: 1.5760e-04, Data Loss: 1.2212e-04, Physics Loss: 3.5484e-05 
Epoch 24000, LR: 1.0000e-05, Loss: 1.4369e-04, Data Loss: 1.1001e-04, Physics Loss: 3.3682e-05 
Epoch 25000, LR: 1.0000e-05, Loss: 1.4202e-04, Data Loss: 1.0856e-04, Physics Loss: 3.3458e-05 
Epoch 26000, LR: 1.0000e-05, Loss: 1.3940e-04, Data Loss: 1.0627e-04, Physics Loss: 3.3125e-05 
Epoch 27000, LR: 1.0000e-05, Loss: 1.3536e-04, Data Loss: 1.0273e-04, Physics Loss: 3.2630e-05 
Epoch 28000, LR: 1.0000e-05, Loss: 1.2944e-04, Data Loss: 9.7523e-05, Physics Loss: 3.1919e-05 
Epoch 29000, LR: 1.0000e-05, Loss: 1.2179e-04, Data Loss: 9.0840e-05, Physics Loss: 3.0947e-05 
Epoch 30000, LR: 1.0000e-05, Loss: 1.1455e-04, Data Loss: 8.4690e-05, Physics Loss: 2.9864e-05 
Epoch 31000, LR: 1.0000e-05, Loss: 1.0822e-04, Data Loss: 7.9224e-05, Physics Loss: 2.8995e-05 
Epoch 32000, LR: 1.0000e-06, Loss: 1.0225e-04, Data Loss: 7.4506e-05, Physics Loss: 2.7743e-05 
Epoch 33000, LR: 1.0000e-06, Loss: 1.0158e-04, Data Loss: 7.3952e-05, Physics Loss: 2.7624e-05 
Epoch 34000, LR: 1.0000e-06, Loss: 1.0062e-04, Data Loss: 7.3139e-05, Physics Loss: 2.7484e-05 
Epoch 35000, LR: 1.0000e-06, Loss: 9.9344e-05, Data Loss: 7.2021e-05, Physics Loss: 2.7324e-05 
Epoch 36000, LR: 1.0000e-06, Loss: 9.7726e-05, Data Loss: 7.0592e-05, Physics Loss: 2.7134e-05 
Epoch 37000, LR: 1.0000e-06, Loss: 9.5812e-05, Data Loss: 6.8907e-05, Physics Loss: 2.6905e-05 
Epoch 38000, LR: 1.0000e-06, Loss: 9.3878e-05, Data Loss: 6.7246e-05, Physics Loss: 2.6632e-05 
Epoch 39000, LR: 1.0000e-06, Loss: 9.2022e-05, Data Loss: 6.5680e-05, Physics Loss: 2.6342e-05 
Epoch 40000, LR: 1.0000e-07, Loss: 9.0238e-05, Data Loss: 6.4204e-05, Physics Loss: 2.6035e-05 
Epoch 41000, LR: 1.0000e-07, Loss: 9.0048e-05, Data Loss: 6.4046e-05, Physics Loss: 2.6002e-05 
Epoch 42000, LR: 1.0000e-07, Loss: 8.9827e-05, Data Loss: 6.3850e-05, Physics Loss: 2.5977e-05 
Epoch 43000, LR: 1.0000e-07, Loss: 8.9590e-05, Data Loss: 6.3634e-05, Physics Loss: 2.5956e-05 
Epoch 44000, LR: 1.0000e-07, Loss: 8.9339e-05, Data Loss: 6.3400e-05, Physics Loss: 2.5939e-05 
Epoch 45000, LR: 1.0000e-07, Loss: 8.9083e-05, Data Loss: 6.3160e-05, Physics Loss: 2.5924e-05 
Epoch 46000, LR: 1.0000e-07, Loss: 8.8829e-05, Data Loss: 6.2924e-05, Physics Loss: 2.5905e-05 
