Reynolds Number: 88
Epoch 0, LR: 1.0000e-02, Loss: 9.4473e-01, Data Loss: 9.4471e-01, Physics Loss: 2.3286e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.3371e-01, Data Loss: 1.3335e-01, Physics Loss: 3.5726e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 8.0661e-02, Data Loss: 7.9974e-02, Physics Loss: 6.8735e-04 
Epoch 3000, LR: 1.0000e-02, Loss: 2.0824e-03, Data Loss: 1.3655e-03, Physics Loss: 7.1689e-04 
Epoch 4000, LR: 1.0000e-02, Loss: 1.8309e-03, Data Loss: 6.7557e-04, Physics Loss: 1.1553e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 3.1146e-03, Data Loss: 9.4103e-04, Physics Loss: 2.1736e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 1.0561e-03, Data Loss: 3.6860e-04, Physics Loss: 6.8754e-04 
Epoch 7000, LR: 1.0000e-02, Loss: 6.5427e-03, Data Loss: 5.6266e-04, Physics Loss: 5.9801e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 2.6913e-03, Data Loss: 4.4088e-04, Physics Loss: 2.2504e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 9.6544e-05, Data Loss: 6.8909e-05, Physics Loss: 2.7635e-05 
Epoch 10000, LR: 1.0000e-03, Loss: 7.5372e-05, Data Loss: 5.4310e-05, Physics Loss: 2.1062e-05 
Epoch 11000, LR: 1.0000e-03, Loss: 5.8038e-05, Data Loss: 4.2545e-05, Physics Loss: 1.5493e-05 
Epoch 12000, LR: 1.0000e-03, Loss: 4.3543e-05, Data Loss: 3.2118e-05, Physics Loss: 1.1425e-05 
Epoch 13000, LR: 1.0000e-03, Loss: 3.4208e-05, Data Loss: 2.4379e-05, Physics Loss: 9.8296e-06 
Epoch 14000, LR: 1.0000e-03, Loss: 2.7071e-05, Data Loss: 1.9488e-05, Physics Loss: 7.5821e-06 
Epoch 15000, LR: 1.0000e-03, Loss: 6.0572e-05, Data Loss: 2.0677e-05, Physics Loss: 3.9895e-05 
Epoch 16000, LR: 1.0000e-04, Loss: 7.1913e-05, Data Loss: 1.7705e-05, Physics Loss: 5.4208e-05 
Epoch 17000, LR: 1.0000e-04, Loss: 1.9268e-05, Data Loss: 1.4144e-05, Physics Loss: 5.1236e-06 
Epoch 18000, LR: 1.0000e-04, Loss: 1.8655e-05, Data Loss: 1.3658e-05, Physics Loss: 4.9974e-06 
Epoch 19000, LR: 1.0000e-04, Loss: 1.7758e-05, Data Loss: 1.2978e-05, Physics Loss: 4.7800e-06 
Epoch 20000, LR: 1.0000e-04, Loss: 1.6485e-05, Data Loss: 1.2034e-05, Physics Loss: 4.4511e-06 
Epoch 21000, LR: 1.0000e-04, Loss: 1.4877e-05, Data Loss: 1.0847e-05, Physics Loss: 4.0303e-06 
Epoch 22000, LR: 1.0000e-04, Loss: 1.4480e-05, Data Loss: 9.8948e-06, Physics Loss: 4.5848e-06 
Epoch 23000, LR: 1.0000e-04, Loss: 1.2722e-05, Data Loss: 8.9475e-06, Physics Loss: 3.7741e-06 
Epoch 24000, LR: 1.0000e-05, Loss: 1.1089e-05, Data Loss: 8.0148e-06, Physics Loss: 3.0740e-06 
Epoch 25000, LR: 1.0000e-05, Loss: 1.0941e-05, Data Loss: 7.9022e-06, Physics Loss: 3.0392e-06 
Epoch 26000, LR: 1.0000e-05, Loss: 1.0707e-05, Data Loss: 7.7236e-06, Physics Loss: 2.9836e-06 
Epoch 27000, LR: 1.0000e-05, Loss: 1.0335e-05, Data Loss: 7.4407e-06, Physics Loss: 2.8943e-06 
Epoch 28000, LR: 1.0000e-05, Loss: 9.7684e-06, Data Loss: 7.0131e-06, Physics Loss: 2.7552e-06 
Epoch 29000, LR: 1.0000e-05, Loss: 9.0144e-06, Data Loss: 6.4510e-06, Physics Loss: 2.5634e-06 
Epoch 30000, LR: 1.0000e-05, Loss: 8.3258e-06, Data Loss: 5.9395e-06, Physics Loss: 2.3863e-06 
