Reynolds Number: 62
Epoch 0, LR: 1.0000e-02, Loss: 9.5895e-01, Data Loss: 9.5893e-01, Physics Loss: 2.3421e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.3741e-01, Data Loss: 1.3626e-01, Physics Loss: 1.1437e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 2.9470e-03, Data Loss: 2.2875e-03, Physics Loss: 6.5955e-04 
Epoch 3000, LR: 1.0000e-02, Loss: 2.3546e-03, Data Loss: 1.4773e-03, Physics Loss: 8.7729e-04 
Epoch 4000, LR: 1.0000e-02, Loss: 7.9980e-04, Data Loss: 5.4255e-04, Physics Loss: 2.5725e-04 
Epoch 5000, LR: 1.0000e-02, Loss: 4.9403e-04, Data Loss: 3.3457e-04, Physics Loss: 1.5946e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 2.4578e-03, Data Loss: 4.6277e-04, Physics Loss: 1.9951e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 1.3661e-03, Data Loss: 2.8194e-04, Physics Loss: 1.0841e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 4.9442e-03, Data Loss: 6.2269e-04, Physics Loss: 4.3215e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.5949e-04, Data Loss: 1.1108e-04, Physics Loss: 4.8409e-05 
Epoch 10000, LR: 1.0000e-03, Loss: 1.2717e-04, Data Loss: 8.9682e-05, Physics Loss: 3.7487e-05 
Epoch 11000, LR: 1.0000e-03, Loss: 9.6971e-05, Data Loss: 6.9487e-05, Physics Loss: 2.7485e-05 
Epoch 12000, LR: 1.0000e-03, Loss: 6.7999e-05, Data Loss: 4.9565e-05, Physics Loss: 1.8434e-05 
Epoch 13000, LR: 1.0000e-03, Loss: 4.5991e-05, Data Loss: 3.3831e-05, Physics Loss: 1.2161e-05 
Epoch 14000, LR: 1.0000e-03, Loss: 3.5454e-05, Data Loss: 2.5774e-05, Physics Loss: 9.6796e-06 
Epoch 15000, LR: 1.0000e-03, Loss: 3.0207e-05, Data Loss: 2.1336e-05, Physics Loss: 8.8713e-06 
Epoch 16000, LR: 1.0000e-04, Loss: 3.2591e-05, Data Loss: 1.8170e-05, Physics Loss: 1.4421e-05 
Epoch 17000, LR: 1.0000e-04, Loss: 2.3485e-05, Data Loss: 1.7470e-05, Physics Loss: 6.0146e-06 
Epoch 18000, LR: 1.0000e-04, Loss: 2.2585e-05, Data Loss: 1.6819e-05, Physics Loss: 5.7667e-06 
Epoch 19000, LR: 1.0000e-04, Loss: 2.1262e-05, Data Loss: 1.5874e-05, Physics Loss: 5.3888e-06 
Epoch 20000, LR: 1.0000e-04, Loss: 1.9404e-05, Data Loss: 1.4546e-05, Physics Loss: 4.8585e-06 
Epoch 21000, LR: 1.0000e-04, Loss: 1.7826e-05, Data Loss: 1.3067e-05, Physics Loss: 4.7588e-06 
Epoch 22000, LR: 1.0000e-04, Loss: 1.5401e-05, Data Loss: 1.1523e-05, Physics Loss: 3.8780e-06 
Epoch 23000, LR: 1.0000e-04, Loss: 1.4467e-05, Data Loss: 1.0446e-05, Physics Loss: 4.0211e-06 
Epoch 24000, LR: 1.0000e-05, Loss: 1.2711e-05, Data Loss: 9.4673e-06, Physics Loss: 3.2433e-06 
Epoch 25000, LR: 1.0000e-05, Loss: 1.2566e-05, Data Loss: 9.3529e-06, Physics Loss: 3.2135e-06 
Epoch 26000, LR: 1.0000e-05, Loss: 1.2342e-05, Data Loss: 9.1718e-06, Physics Loss: 3.1700e-06 
Epoch 27000, LR: 1.0000e-05, Loss: 1.1990e-05, Data Loss: 8.8873e-06, Physics Loss: 3.1023e-06 
Epoch 28000, LR: 1.0000e-05, Loss: 1.1455e-05, Data Loss: 8.4537e-06, Physics Loss: 3.0013e-06 
Epoch 29000, LR: 1.0000e-05, Loss: 1.0720e-05, Data Loss: 7.8552e-06, Physics Loss: 2.8643e-06 
Epoch 30000, LR: 1.0000e-05, Loss: 1.0032e-05, Data Loss: 7.2882e-06, Physics Loss: 2.7436e-06 
Epoch 31000, LR: 1.0000e-05, Loss: 9.4181e-06, Data Loss: 6.7857e-06, Physics Loss: 2.6324e-06 
Epoch 32000, LR: 1.0000e-06, Loss: 8.8794e-06, Data Loss: 6.3440e-06, Physics Loss: 2.5354e-06 
Epoch 33000, LR: 1.0000e-06, Loss: 8.8149e-06, Data Loss: 6.2909e-06, Physics Loss: 2.5241e-06 
Epoch 34000, LR: 1.0000e-06, Loss: 8.7162e-06, Data Loss: 6.2100e-06, Physics Loss: 2.5063e-06 
Epoch 35000, LR: 1.0000e-06, Loss: 8.5722e-06, Data Loss: 6.0925e-06, Physics Loss: 2.4797e-06 
Epoch 36000, LR: 1.0000e-06, Loss: 8.3751e-06, Data Loss: 5.9326e-06, Physics Loss: 2.4425e-06 
Epoch 37000, LR: 1.0000e-06, Loss: 8.1271e-06, Data Loss: 5.7323e-06, Physics Loss: 2.3949e-06 
Epoch 38000, LR: 1.0000e-06, Loss: 7.8758e-06, Data Loss: 5.5304e-06, Physics Loss: 2.3453e-06 
Epoch 39000, LR: 1.0000e-06, Loss: 7.6387e-06, Data Loss: 5.3408e-06, Physics Loss: 2.2979e-06 
Epoch 40000, LR: 1.0000e-07, Loss: 7.4144e-06, Data Loss: 5.1620e-06, Physics Loss: 2.2524e-06 
Epoch 41000, LR: 1.0000e-07, Loss: 7.3893e-06, Data Loss: 5.1421e-06, Physics Loss: 2.2472e-06 
Epoch 42000, LR: 1.0000e-07, Loss: 7.3586e-06, Data Loss: 5.1180e-06, Physics Loss: 2.2406e-06 
Epoch 43000, LR: 1.0000e-07, Loss: 7.3237e-06, Data Loss: 5.0899e-06, Physics Loss: 2.2338e-06 
