Reynolds Number: 64
Epoch 0, LR: 1.0000e-02, Loss: 9.5671e-01, Data Loss: 9.5668e-01, Physics Loss: 2.3406e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.6726e-01, Data Loss: 1.6642e-01, Physics Loss: 8.4056e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 1.3990e-01, Data Loss: 1.3746e-01, Physics Loss: 2.4408e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.1299e-02, Data Loss: 5.8089e-03, Physics Loss: 5.4906e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 7.3499e-03, Data Loss: 2.7945e-03, Physics Loss: 4.5555e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 2.9697e-03, Data Loss: 7.8963e-04, Physics Loss: 2.1801e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 2.5505e-03, Data Loss: 5.0093e-04, Physics Loss: 2.0496e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 1.0136e-03, Data Loss: 4.3214e-04, Physics Loss: 5.8144e-04 
Epoch 8000, LR: 1.0000e-03, Loss: 2.2548e-03, Data Loss: 5.2161e-04, Physics Loss: 1.7332e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.8935e-04, Data Loss: 1.4386e-04, Physics Loss: 4.5495e-05 
Epoch 10000, LR: 1.0000e-03, Loss: 1.5460e-04, Data Loss: 1.1702e-04, Physics Loss: 3.7582e-05 
Epoch 11000, LR: 1.0000e-03, Loss: 1.2235e-04, Data Loss: 9.2382e-05, Physics Loss: 2.9969e-05 
Epoch 12000, LR: 1.0000e-03, Loss: 9.4705e-05, Data Loss: 7.1595e-05, Physics Loss: 2.3110e-05 
Epoch 13000, LR: 1.0000e-03, Loss: 1.3841e-04, Data Loss: 6.0600e-05, Physics Loss: 7.7808e-05 
Epoch 14000, LR: 1.0000e-03, Loss: 6.7461e-05, Data Loss: 5.0350e-05, Physics Loss: 1.7111e-05 
Epoch 15000, LR: 1.0000e-03, Loss: 6.0855e-05, Data Loss: 4.3895e-05, Physics Loss: 1.6960e-05 
Epoch 16000, LR: 1.0000e-04, Loss: 5.1213e-05, Data Loss: 3.9241e-05, Physics Loss: 1.1972e-05 
Epoch 17000, LR: 1.0000e-04, Loss: 5.0245e-05, Data Loss: 3.8606e-05, Physics Loss: 1.1638e-05 
Epoch 18000, LR: 1.0000e-04, Loss: 4.8970e-05, Data Loss: 3.7677e-05, Physics Loss: 1.1293e-05 
Epoch 19000, LR: 1.0000e-04, Loss: 4.7033e-05, Data Loss: 3.6280e-05, Physics Loss: 1.0752e-05 
Epoch 20000, LR: 1.0000e-04, Loss: 4.4181e-05, Data Loss: 3.4221e-05, Physics Loss: 9.9599e-06 
Epoch 21000, LR: 1.0000e-04, Loss: 4.0505e-05, Data Loss: 3.1533e-05, Physics Loss: 8.9723e-06 
Epoch 22000, LR: 1.0000e-04, Loss: 3.7499e-05, Data Loss: 2.9102e-05, Physics Loss: 8.3972e-06 
Epoch 23000, LR: 1.0000e-04, Loss: 3.4275e-05, Data Loss: 2.6915e-05, Physics Loss: 7.3598e-06 
Epoch 24000, LR: 1.0000e-05, Loss: 3.1677e-05, Data Loss: 2.4941e-05, Physics Loss: 6.7367e-06 
Epoch 25000, LR: 1.0000e-05, Loss: 3.1336e-05, Data Loss: 2.4697e-05, Physics Loss: 6.6385e-06 
Epoch 26000, LR: 1.0000e-05, Loss: 3.0813e-05, Data Loss: 2.4298e-05, Physics Loss: 6.5149e-06 
Epoch 27000, LR: 1.0000e-05, Loss: 2.9977e-05, Data Loss: 2.3660e-05, Physics Loss: 6.3169e-06 
Epoch 28000, LR: 1.0000e-05, Loss: 2.8669e-05, Data Loss: 2.2659e-05, Physics Loss: 6.0105e-06 
Epoch 29000, LR: 1.0000e-05, Loss: 2.6803e-05, Data Loss: 2.1217e-05, Physics Loss: 5.5862e-06 
Epoch 30000, LR: 1.0000e-05, Loss: 2.4890e-05, Data Loss: 1.9723e-05, Physics Loss: 5.1671e-06 
Epoch 31000, LR: 1.0000e-05, Loss: 2.3088e-05, Data Loss: 1.8300e-05, Physics Loss: 4.7885e-06 
Epoch 32000, LR: 1.0000e-06, Loss: 2.1382e-05, Data Loss: 1.6946e-05, Physics Loss: 4.4353e-06 
Epoch 33000, LR: 1.0000e-06, Loss: 2.1178e-05, Data Loss: 1.6785e-05, Physics Loss: 4.3933e-06 
Epoch 34000, LR: 1.0000e-06, Loss: 2.0888e-05, Data Loss: 1.6556e-05, Physics Loss: 4.3314e-06 
Epoch 35000, LR: 1.0000e-06, Loss: 2.0498e-05, Data Loss: 1.6251e-05, Physics Loss: 4.2464e-06 
Epoch 36000, LR: 1.0000e-06, Loss: 2.0010e-05, Data Loss: 1.5873e-05, Physics Loss: 4.1372e-06 
Epoch 37000, LR: 1.0000e-06, Loss: 1.9439e-05, Data Loss: 1.5434e-05, Physics Loss: 4.0054e-06 
Epoch 38000, LR: 1.0000e-06, Loss: 1.8857e-05, Data Loss: 1.4990e-05, Physics Loss: 3.8672e-06 
Epoch 39000, LR: 1.0000e-06, Loss: 1.8295e-05, Data Loss: 1.4562e-05, Physics Loss: 3.7332e-06 
Epoch 40000, LR: 1.0000e-07, Loss: 1.7750e-05, Data Loss: 1.4146e-05, Physics Loss: 3.6045e-06 
Epoch 41000, LR: 1.0000e-07, Loss: 1.7691e-05, Data Loss: 1.4100e-05, Physics Loss: 3.5902e-06 
Epoch 42000, LR: 1.0000e-07, Loss: 1.7624e-05, Data Loss: 1.4049e-05, Physics Loss: 3.5748e-06 
Epoch 43000, LR: 1.0000e-07, Loss: 1.7552e-05, Data Loss: 1.3994e-05, Physics Loss: 3.5582e-06 
Epoch 44000, LR: 1.0000e-07, Loss: 1.7477e-05, Data Loss: 1.3937e-05, Physics Loss: 3.5404e-06 
Epoch 45000, LR: 1.0000e-07, Loss: 1.7401e-05, Data Loss: 1.3879e-05, Physics Loss: 3.5221e-06 
Epoch 46000, LR: 1.0000e-07, Loss: 1.7324e-05, Data Loss: 1.3820e-05, Physics Loss: 3.5038e-06 
