Reynolds Number: 35
Epoch 0, LR: 1.0000e-02, Loss: 1.0803e+00, Data Loss: 1.0803e+00, Physics Loss: 2.3794e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 2.1043e-01, Data Loss: 2.0998e-01, Physics Loss: 4.4766e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 2.2590e-01, Data Loss: 2.2567e-01, Physics Loss: 2.2574e-04 
Epoch 3000, LR: 1.0000e-02, Loss: 2.1141e-01, Data Loss: 2.0927e-01, Physics Loss: 2.1465e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 2.3900e-01, Data Loss: 2.3719e-01, Physics Loss: 1.8090e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 2.1410e-01, Data Loss: 2.1337e-01, Physics Loss: 7.2620e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 1.8796e-01, Data Loss: 1.8491e-01, Physics Loss: 3.0437e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 2.4950e-01, Data Loss: 2.4825e-01, Physics Loss: 1.2454e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 2.0837e-01, Data Loss: 2.0682e-01, Physics Loss: 1.5507e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.9054e-01, Data Loss: 1.8816e-01, Physics Loss: 2.3853e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 2.4394e-01, Data Loss: 2.4144e-01, Physics Loss: 2.5035e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 1.6195e-01, Data Loss: 1.5341e-01, Physics Loss: 8.5376e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.6455e-01, Data Loss: 1.6096e-01, Physics Loss: 3.5852e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 1.3615e-01, Data Loss: 1.3424e-01, Physics Loss: 1.9109e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 1.3666e-01, Data Loss: 1.3406e-01, Physics Loss: 2.6033e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 1.4591e-01, Data Loss: 1.4214e-01, Physics Loss: 3.7670e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 1.3247e-01, Data Loss: 1.3118e-01, Physics Loss: 1.2918e-03 
Epoch 17000, LR: 1.0000e-04, Loss: 1.3166e-01, Data Loss: 1.3060e-01, Physics Loss: 1.0605e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 1.3108e-01, Data Loss: 1.3003e-01, Physics Loss: 1.0530e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 1.3039e-01, Data Loss: 1.2935e-01, Physics Loss: 1.0360e-03 
Epoch 20000, LR: 1.0000e-04, Loss: 1.2958e-01, Data Loss: 1.2859e-01, Physics Loss: 9.9170e-04 
Epoch 21000, LR: 1.0000e-04, Loss: 1.2899e-01, Data Loss: 1.2805e-01, Physics Loss: 9.4186e-04 
Epoch 22000, LR: 1.0000e-04, Loss: 1.2864e-01, Data Loss: 1.2767e-01, Physics Loss: 9.7351e-04 
Epoch 23000, LR: 1.0000e-04, Loss: 1.2844e-01, Data Loss: 1.2737e-01, Physics Loss: 1.0652e-03 
Epoch 24000, LR: 1.0000e-05, Loss: 1.2793e-01, Data Loss: 1.2713e-01, Physics Loss: 7.9917e-04 
Epoch 25000, LR: 1.0000e-05, Loss: 1.2788e-01, Data Loss: 1.2709e-01, Physics Loss: 7.9666e-04 
Epoch 26000, LR: 1.0000e-05, Loss: 1.2782e-01, Data Loss: 1.2703e-01, Physics Loss: 7.8991e-04 
Epoch 27000, LR: 1.0000e-05, Loss: 1.2772e-01, Data Loss: 1.2695e-01, Physics Loss: 7.7507e-04 
Epoch 28000, LR: 1.0000e-05, Loss: 1.2758e-01, Data Loss: 1.2683e-01, Physics Loss: 7.5207e-04 
Epoch 29000, LR: 1.0000e-05, Loss: 1.2742e-01, Data Loss: 1.2669e-01, Physics Loss: 7.2867e-04 
Epoch 30000, LR: 1.0000e-05, Loss: 1.2727e-01, Data Loss: 1.2656e-01, Physics Loss: 7.0970e-04 
Epoch 31000, LR: 1.0000e-05, Loss: 1.2712e-01, Data Loss: 1.2643e-01, Physics Loss: 6.8880e-04 
Epoch 32000, LR: 1.0000e-06, Loss: 1.2700e-01, Data Loss: 1.2632e-01, Physics Loss: 6.7287e-04 
Epoch 33000, LR: 1.0000e-06, Loss: 1.2698e-01, Data Loss: 1.2631e-01, Physics Loss: 6.7069e-04 
Epoch 34000, LR: 1.0000e-06, Loss: 1.2696e-01, Data Loss: 1.2629e-01, Physics Loss: 6.6822e-04 
Epoch 35000, LR: 1.0000e-06, Loss: 1.2693e-01, Data Loss: 1.2626e-01, Physics Loss: 6.6520e-04 
Epoch 36000, LR: 1.0000e-06, Loss: 1.2689e-01, Data Loss: 1.2622e-01, Physics Loss: 6.6156e-04 
Epoch 37000, LR: 1.0000e-06, Loss: 1.2683e-01, Data Loss: 1.2618e-01, Physics Loss: 6.5710e-04 
Epoch 38000, LR: 1.0000e-06, Loss: 1.2678e-01, Data Loss: 1.2613e-01, Physics Loss: 6.5197e-04 
Epoch 39000, LR: 1.0000e-06, Loss: 1.2674e-01, Data Loss: 1.2609e-01, Physics Loss: 6.4727e-04 
Epoch 40000, LR: 1.0000e-07, Loss: 1.2669e-01, Data Loss: 1.2605e-01, Physics Loss: 6.4243e-04 
Epoch 41000, LR: 1.0000e-07, Loss: 1.2669e-01, Data Loss: 1.2604e-01, Physics Loss: 6.4177e-04 
Epoch 42000, LR: 1.0000e-07, Loss: 1.2668e-01, Data Loss: 1.2604e-01, Physics Loss: 6.4101e-04 
Epoch 43000, LR: 1.0000e-07, Loss: 1.2667e-01, Data Loss: 1.2603e-01, Physics Loss: 6.4022e-04 
Epoch 44000, LR: 1.0000e-07, Loss: 1.2666e-01, Data Loss: 1.2602e-01, Physics Loss: 6.3936e-04 
Epoch 45000, LR: 1.0000e-07, Loss: 1.2665e-01, Data Loss: 1.2601e-01, Physics Loss: 6.3844e-04 
Epoch 46000, LR: 1.0000e-07, Loss: 1.2664e-01, Data Loss: 1.2600e-01, Physics Loss: 6.3765e-04 
Epoch 47000, LR: 1.0000e-07, Loss: 1.2663e-01, Data Loss: 1.2599e-01, Physics Loss: 6.3676e-04 
Epoch 48000, LR: 1.0000e-08, Loss: 1.2662e-01, Data Loss: 1.2599e-01, Physics Loss: 6.3586e-04 
Epoch 49000, LR: 1.0000e-08, Loss: 1.2662e-01, Data Loss: 1.2599e-01, Physics Loss: 6.3574e-04 
Mean L2 Error: 4.5690e+01 
Relative L2 Error: 7.5980e-01 
