Reynolds Number: 58
Epoch 0, LR: 1.0000e-02, Loss: 9.6455e-01, Data Loss: 9.6452e-01, Physics Loss: 2.3453e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.5273e-01, Data Loss: 1.5147e-01, Physics Loss: 1.2593e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 1.5002e-01, Data Loss: 1.4961e-01, Physics Loss: 4.1179e-04 
Epoch 3000, LR: 1.0000e-02, Loss: 1.4776e-01, Data Loss: 1.4646e-01, Physics Loss: 1.3035e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 9.3318e-02, Data Loss: 8.2898e-02, Physics Loss: 1.0420e-02 
Epoch 5000, LR: 1.0000e-02, Loss: 2.7945e-03, Data Loss: 1.4863e-03, Physics Loss: 1.3082e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 7.8118e-03, Data Loss: 1.2578e-03, Physics Loss: 6.5540e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 3.4083e-03, Data Loss: 5.0492e-04, Physics Loss: 2.9034e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 8.2118e-04, Data Loss: 4.0225e-04, Physics Loss: 4.1894e-04 
Epoch 9000, LR: 1.0000e-03, Loss: 3.1577e-04, Data Loss: 2.3350e-04, Physics Loss: 8.2270e-05 
Epoch 10000, LR: 1.0000e-03, Loss: 2.5207e-04, Data Loss: 1.8586e-04, Physics Loss: 6.6208e-05 
Epoch 11000, LR: 1.0000e-03, Loss: 1.7632e-04, Data Loss: 1.2415e-04, Physics Loss: 5.2169e-05 
Epoch 12000, LR: 1.0000e-03, Loss: 2.2221e-04, Data Loss: 9.7403e-05, Physics Loss: 1.2481e-04 
Epoch 13000, LR: 1.0000e-03, Loss: 1.3666e-04, Data Loss: 6.3498e-05, Physics Loss: 7.3158e-05 
Epoch 14000, LR: 1.0000e-03, Loss: 1.2366e-04, Data Loss: 5.0782e-05, Physics Loss: 7.2879e-05 
Epoch 15000, LR: 1.0000e-03, Loss: 6.1928e-05, Data Loss: 3.9714e-05, Physics Loss: 2.2214e-05 
Epoch 16000, LR: 1.0000e-04, Loss: 5.3596e-05, Data Loss: 3.4381e-05, Physics Loss: 1.9215e-05 
Epoch 17000, LR: 1.0000e-04, Loss: 5.1207e-05, Data Loss: 3.3450e-05, Physics Loss: 1.7757e-05 
Epoch 18000, LR: 1.0000e-04, Loss: 4.9624e-05, Data Loss: 3.2448e-05, Physics Loss: 1.7176e-05 
Epoch 19000, LR: 1.0000e-04, Loss: 4.7254e-05, Data Loss: 3.0961e-05, Physics Loss: 1.6293e-05 
Epoch 20000, LR: 1.0000e-04, Loss: 4.3847e-05, Data Loss: 2.8847e-05, Physics Loss: 1.5001e-05 
Epoch 21000, LR: 1.0000e-04, Loss: 3.9480e-05, Data Loss: 2.6155e-05, Physics Loss: 1.3325e-05 
Epoch 22000, LR: 1.0000e-04, Loss: 3.5834e-05, Data Loss: 2.3868e-05, Physics Loss: 1.1966e-05 
Epoch 23000, LR: 1.0000e-04, Loss: 3.2637e-05, Data Loss: 2.1933e-05, Physics Loss: 1.0704e-05 
Epoch 24000, LR: 1.0000e-05, Loss: 3.0718e-05, Data Loss: 2.0339e-05, Physics Loss: 1.0379e-05 
Epoch 25000, LR: 1.0000e-05, Loss: 2.9744e-05, Data Loss: 2.0152e-05, Physics Loss: 9.5913e-06 
Epoch 26000, LR: 1.0000e-05, Loss: 2.9264e-05, Data Loss: 1.9854e-05, Physics Loss: 9.4099e-06 
Epoch 27000, LR: 1.0000e-05, Loss: 2.8509e-05, Data Loss: 1.9384e-05, Physics Loss: 9.1250e-06 
Epoch 28000, LR: 1.0000e-05, Loss: 2.7359e-05, Data Loss: 1.8668e-05, Physics Loss: 8.6905e-06 
Epoch 29000, LR: 1.0000e-05, Loss: 2.5740e-05, Data Loss: 1.7661e-05, Physics Loss: 8.0787e-06 
Epoch 30000, LR: 1.0000e-05, Loss: 2.4159e-05, Data Loss: 1.6669e-05, Physics Loss: 7.4904e-06 
Epoch 31000, LR: 1.0000e-05, Loss: 2.2755e-05, Data Loss: 1.5783e-05, Physics Loss: 6.9714e-06 
Epoch 32000, LR: 1.0000e-06, Loss: 2.1488e-05, Data Loss: 1.4976e-05, Physics Loss: 6.5126e-06 
Epoch 33000, LR: 1.0000e-06, Loss: 2.1332e-05, Data Loss: 1.4880e-05, Physics Loss: 6.4518e-06 
