Reynolds Number: 10
Epoch 0, LR: 1.0000e-02, Loss: 1.1152e+01, Data Loss: 1.1152e+01, Physics Loss: 2.6497e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.6507e+00, Data Loss: 1.6150e+00, Physics Loss: 3.5706e-02 
Epoch 2000, LR: 1.0000e-02, Loss: 1.4648e+00, Data Loss: 1.4628e+00, Physics Loss: 2.0152e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.4368e+00, Data Loss: 1.4293e+00, Physics Loss: 7.5021e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.4386e+00, Data Loss: 1.4325e+00, Physics Loss: 6.0441e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 2.3386e+00, Data Loss: 2.0675e+00, Physics Loss: 2.7108e-01 
Epoch 6000, LR: 1.0000e-02, Loss: 1.8090e+00, Data Loss: 1.5602e+00, Physics Loss: 2.4887e-01 
Epoch 7000, LR: 1.0000e-02, Loss: 1.4141e+00, Data Loss: 1.4029e+00, Physics Loss: 1.1205e-02 
Epoch 8000, LR: 1.0000e-03, Loss: 1.4116e+00, Data Loss: 1.4093e+00, Physics Loss: 2.2726e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.3847e+00, Data Loss: 1.3822e+00, Physics Loss: 2.4625e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 1.3540e+00, Data Loss: 1.3522e+00, Physics Loss: 1.7889e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 1.3315e+00, Data Loss: 1.3297e+00, Physics Loss: 1.7699e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.3114e+00, Data Loss: 1.3091e+00, Physics Loss: 2.2729e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 1.1138e+00, Data Loss: 1.0929e+00, Physics Loss: 2.0885e-02 
Epoch 14000, LR: 1.0000e-03, Loss: 9.8489e-01, Data Loss: 9.5479e-01, Physics Loss: 3.0100e-02 
Epoch 15000, LR: 1.0000e-03, Loss: 9.0689e-01, Data Loss: 8.9001e-01, Physics Loss: 1.6881e-02 
Epoch 16000, LR: 1.0000e-04, Loss: 1.4926e+00, Data Loss: 1.4792e+00, Physics Loss: 1.3308e-02 
Epoch 17000, LR: 1.0000e-04, Loss: 1.4611e+00, Data Loss: 1.4492e+00, Physics Loss: 1.1858e-02 
Epoch 18000, LR: 1.0000e-04, Loss: 1.3741e+00, Data Loss: 1.3578e+00, Physics Loss: 1.6306e-02 
Epoch 19000, LR: 1.0000e-04, Loss: 1.2278e+00, Data Loss: 1.2116e+00, Physics Loss: 1.6223e-02 
Epoch 20000, LR: 1.0000e-04, Loss: 8.8689e-01, Data Loss: 8.7757e-01, Physics Loss: 9.3149e-03 
Epoch 21000, LR: 1.0000e-04, Loss: 8.3895e-01, Data Loss: 8.3014e-01, Physics Loss: 8.8014e-03 
Epoch 22000, LR: 1.0000e-04, Loss: 8.1406e-01, Data Loss: 8.0741e-01, Physics Loss: 6.6451e-03 
Epoch 23000, LR: 1.0000e-04, Loss: 8.0416e-01, Data Loss: 7.9773e-01, Physics Loss: 6.4258e-03 
Epoch 24000, LR: 1.0000e-05, Loss: 7.9889e-01, Data Loss: 7.9171e-01, Physics Loss: 7.1863e-03 
Epoch 25000, LR: 1.0000e-05, Loss: 7.9754e-01, Data Loss: 7.9093e-01, Physics Loss: 6.6133e-03 
Epoch 26000, LR: 1.0000e-05, Loss: 7.9648e-01, Data Loss: 7.8983e-01, Physics Loss: 6.6526e-03 
Epoch 27000, LR: 1.0000e-05, Loss: 7.9481e-01, Data Loss: 7.8810e-01, Physics Loss: 6.7108e-03 
Epoch 28000, LR: 1.0000e-05, Loss: 7.9230e-01, Data Loss: 7.8550e-01, Physics Loss: 6.8003e-03 
Epoch 29000, LR: 1.0000e-05, Loss: 7.8916e-01, Data Loss: 7.8228e-01, Physics Loss: 6.8756e-03 
Epoch 30000, LR: 1.0000e-05, Loss: 7.8624e-01, Data Loss: 7.7932e-01, Physics Loss: 6.9203e-03 
Epoch 31000, LR: 1.0000e-05, Loss: 7.8357e-01, Data Loss: 7.7661e-01, Physics Loss: 6.9582e-03 
Epoch 32000, LR: 1.0000e-06, Loss: 7.8108e-01, Data Loss: 7.7410e-01, Physics Loss: 6.9765e-03 
Epoch 33000, LR: 1.0000e-06, Loss: 7.8078e-01, Data Loss: 7.7380e-01, Physics Loss: 6.9790e-03 
Epoch 34000, LR: 1.0000e-06, Loss: 7.8034e-01, Data Loss: 7.7335e-01, Physics Loss: 6.9871e-03 
Epoch 35000, LR: 1.0000e-06, Loss: 7.7972e-01, Data Loss: 7.7271e-01, Physics Loss: 7.0011e-03 
Epoch 36000, LR: 1.0000e-06, Loss: 7.7890e-01, Data Loss: 7.7188e-01, Physics Loss: 7.0170e-03 
Epoch 37000, LR: 1.0000e-06, Loss: 7.7795e-01, Data Loss: 7.7091e-01, Physics Loss: 7.0353e-03 
Epoch 38000, LR: 1.0000e-06, Loss: 7.7699e-01, Data Loss: 7.6993e-01, Physics Loss: 7.0528e-03 
Epoch 39000, LR: 1.0000e-06, Loss: 7.7605e-01, Data Loss: 7.6898e-01, Physics Loss: 7.0725e-03 
Epoch 40000, LR: 1.0000e-07, Loss: 7.7515e-01, Data Loss: 7.6805e-01, Physics Loss: 7.0954e-03 
Epoch 41000, LR: 1.0000e-07, Loss: 7.7505e-01, Data Loss: 7.6795e-01, Physics Loss: 7.0976e-03 
Epoch 42000, LR: 1.0000e-07, Loss: 7.7493e-01, Data Loss: 7.6783e-01, Physics Loss: 7.1002e-03 
Epoch 43000, LR: 1.0000e-07, Loss: 7.7480e-01, Data Loss: 7.6770e-01, Physics Loss: 7.1037e-03 
Epoch 44000, LR: 1.0000e-07, Loss: 7.7467e-01, Data Loss: 7.6756e-01, Physics Loss: 7.1084e-03 
Epoch 45000, LR: 1.0000e-07, Loss: 7.7453e-01, Data Loss: 7.6742e-01, Physics Loss: 7.1133e-03 
Epoch 46000, LR: 1.0000e-07, Loss: 7.7440e-01, Data Loss: 7.6728e-01, Physics Loss: 7.1184e-03 
Epoch 47000, LR: 1.0000e-07, Loss: 7.7426e-01, Data Loss: 7.6714e-01, Physics Loss: 7.1236e-03 
Epoch 48000, LR: 1.0000e-08, Loss: 7.7413e-01, Data Loss: 7.6700e-01, Physics Loss: 7.1285e-03 
Epoch 49000, LR: 1.0000e-08, Loss: 7.7412e-01, Data Loss: 7.6699e-01, Physics Loss: 7.1301e-03 
Mean L2 Error: 8.3732e+01 
Relative L2 Error: 7.3992e-01 
