Reynolds Number: 95
Epoch 0, LR: 1.0000e-02, Loss: 9.4382e-01, Data Loss: 9.4379e-01, Physics Loss: 2.3262e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.3346e-01, Data Loss: 1.3263e-01, Physics Loss: 8.3128e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 2.4133e-02, Data Loss: 1.5118e-02, Physics Loss: 9.0156e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 9.3878e-03, Data Loss: 1.8557e-03, Physics Loss: 7.5321e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.2199e-03, Data Loss: 2.5040e-04, Physics Loss: 9.6946e-04 
Epoch 5000, LR: 1.0000e-02, Loss: 1.0128e-03, Data Loss: 1.5751e-04, Physics Loss: 8.5529e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 2.1511e-03, Data Loss: 9.3078e-04, Physics Loss: 1.2203e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 7.8284e-04, Data Loss: 3.0350e-04, Physics Loss: 4.7935e-04 
Epoch 8000, LR: 1.0000e-03, Loss: 1.1096e-03, Data Loss: 2.2721e-04, Physics Loss: 8.8238e-04 
Epoch 9000, LR: 1.0000e-03, Loss: 9.1479e-05, Data Loss: 6.8177e-05, Physics Loss: 2.3301e-05 
Epoch 10000, LR: 1.0000e-03, Loss: 7.9589e-05, Data Loss: 6.0669e-05, Physics Loss: 1.8921e-05 
Epoch 11000, LR: 1.0000e-03, Loss: 6.7618e-05, Data Loss: 5.2384e-05, Physics Loss: 1.5234e-05 
Epoch 12000, LR: 1.0000e-03, Loss: 5.5425e-05, Data Loss: 4.3281e-05, Physics Loss: 1.2144e-05 
Epoch 13000, LR: 1.0000e-03, Loss: 6.2722e-05, Data Loss: 3.7016e-05, Physics Loss: 2.5706e-05 
Epoch 14000, LR: 1.0000e-03, Loss: 4.1174e-05, Data Loss: 2.9329e-05, Physics Loss: 1.1844e-05 
Epoch 15000, LR: 1.0000e-03, Loss: 3.2759e-05, Data Loss: 2.4646e-05, Physics Loss: 8.1130e-06 
Epoch 16000, LR: 1.0000e-04, Loss: 2.7421e-05, Data Loss: 2.0334e-05, Physics Loss: 7.0872e-06 
Epoch 17000, LR: 1.0000e-04, Loss: 2.5643e-05, Data Loss: 1.9600e-05, Physics Loss: 6.0434e-06 
Epoch 18000, LR: 1.0000e-04, Loss: 2.4488e-05, Data Loss: 1.8611e-05, Physics Loss: 5.8772e-06 
Epoch 19000, LR: 1.0000e-04, Loss: 2.2622e-05, Data Loss: 1.7014e-05, Physics Loss: 5.6080e-06 
Epoch 20000, LR: 1.0000e-04, Loss: 1.9752e-05, Data Loss: 1.4564e-05, Physics Loss: 5.1882e-06 
Epoch 21000, LR: 1.0000e-04, Loss: 1.6233e-05, Data Loss: 1.1657e-05, Physics Loss: 4.5757e-06 
Epoch 22000, LR: 1.0000e-04, Loss: 1.3574e-05, Data Loss: 9.4629e-06, Physics Loss: 4.1110e-06 
Epoch 23000, LR: 1.0000e-04, Loss: 1.1319e-05, Data Loss: 7.7692e-06, Physics Loss: 3.5494e-06 
Epoch 24000, LR: 1.0000e-05, Loss: 9.5384e-06, Data Loss: 6.4946e-06, Physics Loss: 3.0439e-06 
Epoch 25000, LR: 1.0000e-05, Loss: 9.3425e-06, Data Loss: 6.3524e-06, Physics Loss: 2.9901e-06 
Epoch 26000, LR: 1.0000e-05, Loss: 9.0344e-06, Data Loss: 6.1307e-06, Physics Loss: 2.9037e-06 
Epoch 27000, LR: 1.0000e-05, Loss: 8.5647e-06, Data Loss: 5.7968e-06, Physics Loss: 2.7679e-06 
Epoch 28000, LR: 1.0000e-05, Loss: 7.8825e-06, Data Loss: 5.3193e-06, Physics Loss: 2.5633e-06 
Epoch 29000, LR: 1.0000e-05, Loss: 7.0116e-06, Data Loss: 4.7142e-06, Physics Loss: 2.2974e-06 
Epoch 30000, LR: 1.0000e-05, Loss: 6.2241e-06, Data Loss: 4.1862e-06, Physics Loss: 2.0378e-06 
Epoch 31000, LR: 1.0000e-05, Loss: 5.5830e-06, Data Loss: 3.7547e-06, Physics Loss: 1.8283e-06 
Epoch 32000, LR: 1.0000e-06, Loss: 5.0515e-06, Data Loss: 3.4024e-06, Physics Loss: 1.6491e-06 
Epoch 33000, LR: 1.0000e-06, Loss: 4.9876e-06, Data Loss: 3.3625e-06, Physics Loss: 1.6251e-06 
Epoch 34000, LR: 1.0000e-06, Loss: 4.8967e-06, Data Loss: 3.3030e-06, Physics Loss: 1.5937e-06 
Epoch 35000, LR: 1.0000e-06, Loss: 4.7672e-06, Data Loss: 3.2182e-06, Physics Loss: 1.5491e-06 
Epoch 36000, LR: 1.0000e-06, Loss: 4.5949e-06, Data Loss: 3.1050e-06, Physics Loss: 1.4899e-06 
Epoch 37000, LR: 1.0000e-06, Loss: 4.3841e-06, Data Loss: 2.9661e-06, Physics Loss: 1.4180e-06 
Epoch 38000, LR: 1.0000e-06, Loss: 4.1718e-06, Data Loss: 2.8262e-06, Physics Loss: 1.3455e-06 
Epoch 39000, LR: 1.0000e-06, Loss: 3.9758e-06, Data Loss: 2.6972e-06, Physics Loss: 1.2786e-06 
Epoch 40000, LR: 1.0000e-07, Loss: 3.7934e-06, Data Loss: 2.5771e-06, Physics Loss: 1.2162e-06 
Epoch 41000, LR: 1.0000e-07, Loss: 3.7734e-06, Data Loss: 2.5641e-06, Physics Loss: 1.2093e-06 
Epoch 42000, LR: 1.0000e-07, Loss: 3.7493e-06, Data Loss: 2.5484e-06, Physics Loss: 1.2009e-06 
Epoch 43000, LR: 1.0000e-07, Loss: 3.7219e-06, Data Loss: 2.5306e-06, Physics Loss: 1.1914e-06 
Epoch 44000, LR: 1.0000e-07, Loss: 3.6927e-06, Data Loss: 2.5113e-06, Physics Loss: 1.1813e-06 
Epoch 45000, LR: 1.0000e-07, Loss: 3.6623e-06, Data Loss: 2.4913e-06, Physics Loss: 1.1710e-06 
Epoch 46000, LR: 1.0000e-07, Loss: 3.6320e-06, Data Loss: 2.4713e-06, Physics Loss: 1.1607e-06 
Epoch 47000, LR: 1.0000e-07, Loss: 3.6019e-06, Data Loss: 2.4514e-06, Physics Loss: 1.1505e-06 
Epoch 48000, LR: 1.0000e-08, Loss: 3.5721e-06, Data Loss: 2.4318e-06, Physics Loss: 1.1403e-06 
Epoch 49000, LR: 1.0000e-08, Loss: 3.5702e-06, Data Loss: 2.4305e-06, Physics Loss: 1.1397e-06 
Mean L2 Error: 3.4523e-01 
Relative L2 Error: 5.7573e-03 
