Reynolds Number: 48
Epoch 0, LR: 1.0000e-02, Loss: 9.8898e-01, Data Loss: 9.8895e-01, Physics Loss: 2.3559e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.7109e-01, Data Loss: 1.7008e-01, Physics Loss: 1.0068e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 1.6348e-01, Data Loss: 1.5632e-01, Physics Loss: 7.1588e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.4791e-01, Data Loss: 1.4200e-01, Physics Loss: 5.9054e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.6935e-01, Data Loss: 1.6564e-01, Physics Loss: 3.7047e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 1.7885e-01, Data Loss: 1.7861e-01, Physics Loss: 2.3688e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 1.7718e-01, Data Loss: 1.7682e-01, Physics Loss: 3.6474e-04 
Epoch 7000, LR: 1.0000e-02, Loss: 1.8206e-01, Data Loss: 1.8180e-01, Physics Loss: 2.6174e-04 
Epoch 8000, LR: 1.0000e-03, Loss: 1.6792e-01, Data Loss: 1.6591e-01, Physics Loss: 2.0063e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.6217e-01, Data Loss: 1.5945e-01, Physics Loss: 2.7187e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 1.5531e-01, Data Loss: 1.5164e-01, Physics Loss: 3.6646e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 1.6514e-01, Data Loss: 1.6392e-01, Physics Loss: 1.2134e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.7612e-01, Data Loss: 1.7575e-01, Physics Loss: 3.6272e-04 
Epoch 13000, LR: 1.0000e-03, Loss: 1.3404e-01, Data Loss: 1.3079e-01, Physics Loss: 3.2513e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 1.5331e-01, Data Loss: 1.4907e-01, Physics Loss: 4.2389e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 1.1806e-01, Data Loss: 1.1681e-01, Physics Loss: 1.2506e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 1.4517e-01, Data Loss: 1.4009e-01, Physics Loss: 5.0782e-03 
