Reynolds Number: 37
Epoch 0, LR: 1.0000e-02, Loss: 1.0572e+00, Data Loss: 1.0572e+00, Physics Loss: 2.3746e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 2.0325e-01, Data Loss: 2.0270e-01, Physics Loss: 5.4410e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 1.8859e-01, Data Loss: 1.8653e-01, Physics Loss: 2.0582e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.9531e-01, Data Loss: 1.9434e-01, Physics Loss: 9.7535e-04 
Epoch 4000, LR: 1.0000e-02, Loss: 2.1510e-01, Data Loss: 2.1137e-01, Physics Loss: 3.7247e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 2.0077e-01, Data Loss: 1.9904e-01, Physics Loss: 1.7299e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 1.8631e-01, Data Loss: 1.8441e-01, Physics Loss: 1.8997e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 1.8908e-01, Data Loss: 1.8633e-01, Physics Loss: 2.7511e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 2.1410e-01, Data Loss: 2.1040e-01, Physics Loss: 3.7022e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.7624e-01, Data Loss: 1.7243e-01, Physics Loss: 3.8087e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 1.8665e-01, Data Loss: 1.6242e-01, Physics Loss: 2.4227e-02 
Epoch 11000, LR: 1.0000e-03, Loss: 1.8153e-01, Data Loss: 1.7693e-01, Physics Loss: 4.5961e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 2.1949e-01, Data Loss: 2.1912e-01, Physics Loss: 3.7145e-04 
Epoch 13000, LR: 1.0000e-03, Loss: 1.7737e-01, Data Loss: 1.7228e-01, Physics Loss: 5.0855e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 1.4626e-01, Data Loss: 1.4301e-01, Physics Loss: 3.2501e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 1.9276e-01, Data Loss: 1.9135e-01, Physics Loss: 1.4092e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 1.7551e-01, Data Loss: 1.7276e-01, Physics Loss: 2.7508e-03 
Epoch 17000, LR: 1.0000e-04, Loss: 1.7427e-01, Data Loss: 1.7142e-01, Physics Loss: 2.8439e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 1.7291e-01, Data Loss: 1.6946e-01, Physics Loss: 3.4515e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 1.7013e-01, Data Loss: 1.6569e-01, Physics Loss: 4.4449e-03 
