Reynolds Number: 91
Epoch 0, LR: 1.0000e-02, Loss: 9.4427e-01, Data Loss: 9.4424e-01, Physics Loss: 2.3275e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.2904e-01, Data Loss: 1.2488e-01, Physics Loss: 4.1669e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 1.2847e-01, Data Loss: 1.2719e-01, Physics Loss: 1.2739e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 2.3276e-02, Data Loss: 2.1248e-02, Physics Loss: 2.0284e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.3648e-03, Data Loss: 1.1734e-03, Physics Loss: 1.9137e-04 
Epoch 5000, LR: 1.0000e-02, Loss: 1.6993e-03, Data Loss: 8.6136e-04, Physics Loss: 8.3794e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 1.4750e-03, Data Loss: 6.8092e-04, Physics Loss: 7.9406e-04 
Epoch 7000, LR: 1.0000e-02, Loss: 5.8806e-03, Data Loss: 9.7007e-04, Physics Loss: 4.9105e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 3.7597e-03, Data Loss: 9.6536e-04, Physics Loss: 2.7944e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 2.2464e-04, Data Loss: 1.6848e-04, Physics Loss: 5.6155e-05 
Epoch 10000, LR: 1.0000e-03, Loss: 1.5780e-04, Data Loss: 1.2220e-04, Physics Loss: 3.5605e-05 
Epoch 11000, LR: 1.0000e-03, Loss: 1.1816e-04, Data Loss: 9.4798e-05, Physics Loss: 2.3359e-05 
Epoch 12000, LR: 1.0000e-03, Loss: 9.3232e-05, Data Loss: 7.7064e-05, Physics Loss: 1.6167e-05 
Epoch 13000, LR: 1.0000e-03, Loss: 9.9785e-05, Data Loss: 6.5773e-05, Physics Loss: 3.4012e-05 
Epoch 14000, LR: 1.0000e-03, Loss: 7.2799e-05, Data Loss: 5.6263e-05, Physics Loss: 1.6537e-05 
Epoch 15000, LR: 1.0000e-03, Loss: 5.2877e-05, Data Loss: 3.9803e-05, Physics Loss: 1.3074e-05 
Epoch 16000, LR: 1.0000e-04, Loss: 4.2522e-05, Data Loss: 3.4043e-05, Physics Loss: 8.4786e-06 
