Reynolds Number: 18
Epoch 0, LR: 1.0000e-02, Loss: 2.1604e+00, Data Loss: 2.1604e+00, Physics Loss: 2.4703e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 5.2320e-01, Data Loss: 5.2132e-01, Physics Loss: 1.8819e-03 
Epoch 2000, LR: 1.0000e-02, Loss: 4.9085e-01, Data Loss: 4.8963e-01, Physics Loss: 1.2191e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 4.6539e-01, Data Loss: 4.6386e-01, Physics Loss: 1.5294e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 5.0431e-01, Data Loss: 5.0364e-01, Physics Loss: 6.7798e-04 
Epoch 5000, LR: 1.0000e-02, Loss: 4.8750e-01, Data Loss: 4.7984e-01, Physics Loss: 7.6584e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 1.2659e+00, Data Loss: 1.2601e+00, Physics Loss: 5.7889e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 5.0528e-01, Data Loss: 5.0034e-01, Physics Loss: 4.9335e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 4.9019e-01, Data Loss: 4.8884e-01, Physics Loss: 1.3500e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 4.6222e-01, Data Loss: 4.6022e-01, Physics Loss: 1.9963e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 4.4248e-01, Data Loss: 4.3897e-01, Physics Loss: 3.5109e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 4.2374e-01, Data Loss: 4.1829e-01, Physics Loss: 5.4479e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 4.7159e-01, Data Loss: 4.6822e-01, Physics Loss: 3.3733e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 4.9967e-01, Data Loss: 4.9685e-01, Physics Loss: 2.8263e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 5.2436e-01, Data Loss: 5.2222e-01, Physics Loss: 2.1390e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 4.6125e-01, Data Loss: 4.2385e-01, Physics Loss: 3.7400e-02 
