Reynolds Number: 29
Epoch 0, LR: 1.0000e-02, Loss: 1.1958e+00, Data Loss: 1.1958e+00, Physics Loss: 2.3982e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 2.5105e-01, Data Loss: 2.5008e-01, Physics Loss: 9.7334e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 2.3584e-01, Data Loss: 2.3408e-01, Physics Loss: 1.7567e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 2.8919e-01, Data Loss: 2.5855e-01, Physics Loss: 3.0642e-02 
Epoch 4000, LR: 1.0000e-02, Loss: 2.4356e-01, Data Loss: 2.4229e-01, Physics Loss: 1.2690e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 4.1596e-01, Data Loss: 4.1298e-01, Physics Loss: 2.9771e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 2.9359e-01, Data Loss: 2.9031e-01, Physics Loss: 3.2849e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 2.5108e-01, Data Loss: 2.5001e-01, Physics Loss: 1.0695e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 2.7964e-01, Data Loss: 2.7896e-01, Physics Loss: 6.7803e-04 
Epoch 9000, LR: 1.0000e-03, Loss: 2.5514e-01, Data Loss: 2.5369e-01, Physics Loss: 1.4474e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 2.0284e-01, Data Loss: 1.8670e-01, Physics Loss: 1.6140e-02 
Epoch 11000, LR: 1.0000e-03, Loss: 1.7723e-01, Data Loss: 1.7452e-01, Physics Loss: 2.7146e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 2.6804e-01, Data Loss: 2.6750e-01, Physics Loss: 5.4623e-04 
Epoch 13000, LR: 1.0000e-03, Loss: 2.1962e-01, Data Loss: 2.1538e-01, Physics Loss: 4.2303e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 1.7900e-01, Data Loss: 1.7648e-01, Physics Loss: 2.5152e-03 
Epoch 15000, LR: 1.0000e-03, Loss: 2.7360e-01, Data Loss: 2.7251e-01, Physics Loss: 1.0900e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 2.1785e-01, Data Loss: 2.1444e-01, Physics Loss: 3.4107e-03 
Epoch 17000, LR: 1.0000e-04, Loss: 1.9646e-01, Data Loss: 1.9313e-01, Physics Loss: 3.3298e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 1.6710e-01, Data Loss: 1.6470e-01, Physics Loss: 2.4044e-03 
