Reynolds Number: 72
Epoch 0, LR: 1.0000e-02, Loss: 9.5034e-01, Data Loss: 9.5031e-01, Physics Loss: 2.3357e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.3897e-01, Data Loss: 1.3828e-01, Physics Loss: 6.8586e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 1.3816e-01, Data Loss: 1.3759e-01, Physics Loss: 5.7428e-04 
Epoch 3000, LR: 1.0000e-02, Loss: 1.3293e-01, Data Loss: 1.2989e-01, Physics Loss: 3.0423e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 6.6040e-02, Data Loss: 6.4613e-02, Physics Loss: 1.4272e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 4.2206e-03, Data Loss: 3.2820e-03, Physics Loss: 9.3867e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 3.4638e-03, Data Loss: 2.3152e-03, Physics Loss: 1.1485e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 6.4723e-03, Data Loss: 2.5497e-03, Physics Loss: 3.9226e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 2.3682e-03, Data Loss: 2.0783e-03, Physics Loss: 2.8994e-04 
Epoch 9000, LR: 1.0000e-03, Loss: 2.0533e-03, Data Loss: 1.9060e-03, Physics Loss: 1.4727e-04 
Epoch 10000, LR: 1.0000e-03, Loss: 1.9837e-03, Data Loss: 1.8468e-03, Physics Loss: 1.3699e-04 
Epoch 11000, LR: 1.0000e-03, Loss: 1.8424e-03, Data Loss: 1.7166e-03, Physics Loss: 1.2583e-04 
Epoch 12000, LR: 1.0000e-03, Loss: 1.5957e-03, Data Loss: 1.4879e-03, Physics Loss: 1.0784e-04 
Epoch 13000, LR: 1.0000e-03, Loss: 1.1528e-03, Data Loss: 1.0545e-03, Physics Loss: 9.8279e-05 
Epoch 14000, LR: 1.0000e-03, Loss: 5.9238e-04, Data Loss: 4.9969e-04, Physics Loss: 9.2688e-05 
Epoch 15000, LR: 1.0000e-03, Loss: 4.1841e-04, Data Loss: 3.5211e-04, Physics Loss: 6.6298e-05 
Epoch 16000, LR: 1.0000e-04, Loss: 5.6285e-04, Data Loss: 2.9687e-04, Physics Loss: 2.6598e-04 
Epoch 17000, LR: 1.0000e-04, Loss: 3.0959e-04, Data Loss: 2.6597e-04, Physics Loss: 4.3619e-05 
Epoch 18000, LR: 1.0000e-04, Loss: 2.9818e-04, Data Loss: 2.5595e-04, Physics Loss: 4.2230e-05 
Epoch 19000, LR: 1.0000e-04, Loss: 2.8148e-04, Data Loss: 2.4136e-04, Physics Loss: 4.0120e-05 
Epoch 20000, LR: 1.0000e-04, Loss: 2.5807e-04, Data Loss: 2.2082e-04, Physics Loss: 3.7243e-05 
Epoch 21000, LR: 1.0000e-04, Loss: 2.2996e-04, Data Loss: 1.9623e-04, Physics Loss: 3.3738e-05 
Epoch 22000, LR: 1.0000e-04, Loss: 2.0756e-04, Data Loss: 1.7500e-04, Physics Loss: 3.2558e-05 
